Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,23.0,SAC,NBA,PF,69.0,2.0,817.0,6.7,14.7,0.452,0.1,0.1,1.0,6.5,14.6,0.448,1.4,1.7,0.821,4.6,6.4,11.0,2.2,1.9,1.0,2.4,4.1,14.8,,100.0,110.0
1993,24.0,SAC,NBA,PF,59.0,9.0,834.0,9.4,19.4,0.485,0.0,0.0,,9.4,19.4,0.485,1.8,2.6,0.696,4.6,6.5,11.1,3.7,1.3,1.2,3.1,5.8,20.7,,102.0,110.0
1994,25.0,TOT,NBA,PF,76.0,24.0,1365.0,7.4,16.3,0.453,0.1,0.5,0.2,7.3,15.8,0.462,1.5,2.4,0.631,4.7,8.8,13.5,3.1,1.9,1.4,2.7,6.0,16.4,,98.0,106.0
1994,25.0,SAC,NBA,PF,46.0,24.0,974.0,7.7,16.6,0.463,0.0,0.1,0.0,7.7,16.5,0.465,1.6,2.6,0.596,5.1,8.6,13.7,3.6,2.2,1.4,2.8,5.9,16.9,,100.0,106.0
1994,25.0,DET,NBA,PF,30.0,0.0,391.0,6.6,15.6,0.425,0.4,1.8,0.214,6.3,13.8,0.453,1.3,1.7,0.769,3.8,9.3,13.0,2.0,1.3,1.4,2.3,6.3,15.0,,95.0,108.0
1995,26.0,HOU,NBA,PF,68.0,17.0,1347.0,5.5,12.4,0.445,1.3,3.3,0.407,4.2,9.2,0.459,1.2,1.6,0.738,4.0,8.0,12.0,2.5,0.9,1.6,2.3,4.4,13.5,,105.0,108.0
1996,27.0,HOU,NBA,PF,74.0,0.0,651.0,5.8,14.2,0.408,2.9,7.8,0.378,2.8,6.4,0.444,1.3,2.1,0.654,4.0,8.3,12.3,2.1,1.5,1.1,1.7,5.1,15.8,,110.0,106.0
1997,28.0,VAN,NBA,PF,54.0,1.0,662.0,5.9,13.5,0.436,2.0,5.7,0.362,3.9,7.9,0.49,1.1,1.8,0.591,5.5,7.3,12.8,3.9,2.1,1.4,2.3,4.3,14.9,,110.0,110.0
1998,29.0,VAN,NBA,PF,82.0,0.0,1420.0,5.7,13.2,0.435,2.0,4.8,0.415,3.7,8.4,0.445,1.4,2.2,0.661,2.8,8.4,11.2,3.8,1.9,1.4,2.3,5.8,14.9,,107.0,109.0
1999,30.0,VAN,NBA,PF,46.0,0.0,697.0,4.9,13.3,0.366,2.0,5.3,0.382,2.9,8.0,0.356,1.1,1.3,0.824,2.2,6.8,9.0,2.3,1.7,0.9,2.2,4.0,12.8,,95.0,108.0
