Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1980,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",22.0,NBA,SG,77.0,,1557.0,211.0,451.0,0.47,0.0,1.0,0.0,211.0,450.0,0.47,0.47,232.0,292.0,0.8,154.0,184.0,338.0,133.0,72.0,16.0,117.0,106.0,654.0,0.0
1981,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",23.0,NBA,SG,80.0,,2417.0,400.0,739.0,0.54,2.0,9.0,0.22,398.0,730.0,0.55,0.54,320.0,398.0,0.8,186.0,220.0,406.0,264.0,90.0,37.0,145.0,156.0,1122.0,0.0
1982,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",24.0,NBA,SG,80.0,80.0,2980.0,556.0,1063.0,0.52,1.0,14.0,0.07,555.0,1049.0,0.53,0.52,468.0,573.0,0.82,221.0,313.0,534.0,382.0,138.0,22.0,208.0,206.0,1581.0,0.0
1983,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",25.0,NBA,SG,76.0,76.0,2710.0,606.0,1156.0,0.52,1.0,10.0,0.1,605.0,1146.0,0.53,0.52,499.0,604.0,0.83,192.0,245.0,437.0,300.0,113.0,23.0,197.0,180.0,1712.0,0.0
1984,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",26.0,NBA,SG,79.0,79.0,3075.0,560.0,1125.0,0.5,5.0,18.0,0.28,555.0,1107.0,0.5,0.5,529.0,624.0,0.85,215.0,313.0,528.0,358.0,108.0,27.0,217.0,204.0,1654.0,2.0
1985,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",27.0,NBA,PG,73.0,72.0,2734.0,561.0,1162.0,0.48,9.0,33.0,0.27,552.0,1129.0,0.49,0.49,454.0,548.0,0.83,149.0,242.0,391.0,382.0,117.0,39.0,184.0,197.0,1585.0,2.0
1986,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",28.0,NBA,PG,73.0,72.0,2567.0,470.0,962.0,0.49,33.0,103.0,0.32,437.0,859.0,0.51,0.51,498.0,580.0,0.86,115.0,219.0,334.0,357.0,103.0,18.0,174.0,178.0,1471.0,1.0
1987,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",29.0,NBA,SG,39.0,30.0,992.0,158.0,324.0,0.49,8.0,31.0,0.26,150.0,293.0,0.51,0.5,136.0,162.0,0.84,57.0,70.0,127.0,121.0,27.0,10.0,63.0,73.0,460.0,0.0
1988,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",30.0,NBA,SG,56.0,51.0,1428.0,217.0,444.0,0.49,5.0,31.0,0.16,212.0,413.0,0.51,0.49,164.0,196.0,0.84,58.0,122.0,180.0,204.0,41.0,14.0,86.0,109.0,603.0,0.0
1989,17,2024,MIL,Milwaukee Bucks,Sidney Moncrief,"September 21, 1957",31.0,NBA,PG,62.0,50.0,1594.0,261.0,532.0,0.49,25.0,73.0,0.34,236.0,459.0,0.51,0.51,205.0,237.0,0.86,46.0,126.0,172.0,188.0,65.0,13.0,94.0,114.0,752.0,0.0
1991,1,2024,ATL,Atlanta Hawks,Sidney Moncrief,"September 21, 1957",33.0,NBA,SG,72.0,3.0,1096.0,117.0,240.0,0.49,21.0,64.0,0.33,96.0,176.0,0.55,0.53,82.0,105.0,0.78,31.0,97.0,128.0,104.0,50.0,9.0,66.0,112.0,337.0,0.0
