Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1991,CHI,Michael Jordan,1,891.0,960,0.928,MVP
1991,LAL,Magic Johnson,2,497.0,960,0.518,MVP
1991,SAS,David Robinson,3,476.0,960,0.496,MVP
1991,PHI,Charles Barkley,4,222.0,960,0.231,MVP
1991,UTA,Karl Malone,5,142.0,960,0.148,MVP
1991,POR,Clyde Drexler,6,75.0,960,0.078,MVP
1991,PHO,Kevin Johnson,7,32.0,960,0.033,MVP
1991,ATL,Dominique Wilkins,8,29.0,960,0.03,MVP
1991,BOS,Larry Bird,9T,25.0,960,0.026,MVP
1991,POR,Terry Porter,9T,25.0,960,0.026,MVP
1991,NYK,Patrick Ewing,11,20.0,960,0.021,MVP
1991,UTA,John Stockton,12,15.0,960,0.016,MVP
1991,DET,Isiah Thomas,13,11.0,960,0.011,MVP
1991,BOS,Robert Parish,14,10.0,960,0.01,MVP
1991,DET,Joe Dumars,15,8.0,960,0.008,MVP
1991,WSB,Bernard King,16,7.0,960,0.007,MVP
1991,HOU,Kenny Smith,17,5.0,960,0.005,MVP
1991,HOU,Hakeem Olajuwon,18,4.0,960,0.004,MVP
1991,GSW,Tim Hardaway,19T,1.0,960,0.001,MVP
1991,BOS,Kevin McHale,19T,1.0,960,0.001,MVP
