SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1981,12,IND,Johnny Davis,25,2,74,17.7,0.49,0.03,0.37,2.4,9.7,5.6,25.1,1.3,0.0,2.4,22.0,0.2,0.0,0.2,0.16,2.4,0.2,2.6,0.1
1981,12,IND,Billy Knight,28,2,71,15.2,0.55,0.0,0.27,7.7,10.1,8.7,12.7,0.7,0.0,13.0,21.2,0.1,0.0,0.1,0.08,2.5,-1.6,0.9,0.1
1981,12,IND,James Edwards,25,2,56,3.5,0.29,0.0,0.0,6.5,21.4,12.9,13.6,0.8,1.0,14.3,19.5,-0.2,0.0,-0.1,-0.11,-5.9,-1.4,-7.3,-0.1
1981,12,IND,Louis Orr,22,2,56,12.4,0.43,0.0,0.28,9.7,8.6,9.2,11.5,4.1,1.0,17.6,23.7,-0.1,0.1,0.0,-0.0,-0.5,0.5,0.0,0.0
1981,12,IND,Clemon Johnson,24,2,55,16.2,0.46,0.0,0.83,16.5,21.8,18.8,7.9,3.4,2.1,15.5,13.8,0.0,0.1,0.1,0.09,1.8,0.3,2.2,0.1
1981,12,IND,Mike Bantom,29,2,51,16.0,0.76,0.0,0.44,8.9,7.1,8.1,3.6,0.9,1.1,23.9,19.2,0.1,0.0,0.1,0.12,0.8,-0.4,0.4,0.0
1981,12,IND,George McGinnis,30,2,39,3.0,0.27,0.0,0.53,4.6,24.6,13.2,25.5,2.4,0.0,21.3,23.5,-0.2,0.0,-0.1,-0.18,-6.9,0.2,-6.7,0.0
1981,12,IND,Don Buse,30,2,35,7.4,0.28,0.5,0.25,0.0,17.1,7.4,26.6,4.0,0.0,18.4,12.1,-0.1,0.0,0.0,-0.0,-4.7,3.0,-1.8,0.0
1981,12,IND,George Johnson,24,2,23,12.1,0.62,0.0,0.0,3.9,15.7,9.0,7.7,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.03,0.2,-1.4,-1.2,0.0
1981,12,IND,Dudley Bradley,23,2,19,3.8,0.46,0.11,0.22,4.8,6.3,5.4,16.9,4.9,0.0,33.6,30.6,-0.1,0.0,-0.1,-0.18,-7.2,0.0,-7.2,0.0
1981,12,IND,Jerry Sichting,24,1,1,46.0,,,,0.0,0.0,0.0,0.0,46.4,0.0,,0.0,0.0,0.0,0.0,0.54,3.3,51.3,54.6,0.0
