Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012,21.0,ORL,NBA,PF,16.0,2.0,187.0,3.3,5.8,0.567,0.0,0.2,0.0,3.3,5.6,0.586,2.1,4.8,0.44,3.7,3.9,7.5,1.0,1.5,1.7,1.3,5.8,8.7
2013,22.0,OKC,NBA,C,13.0,0.0,104.0,4.2,9.0,0.462,0.0,0.0,,4.2,9.0,0.462,3.1,5.9,0.529,4.5,4.5,9.0,1.4,1.4,1.0,1.4,4.5,11.4
2014,23.0,PHI,NBA,C,22.0,4.0,251.0,3.0,6.7,0.447,0.0,0.0,,3.0,6.7,0.447,3.3,4.3,0.767,2.3,6.5,8.7,2.2,0.9,2.3,2.6,5.5,9.3
