PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Glen Rice,26,81,81,2999,11.3,24.2,0.467,2.3,5.9,0.382,9.1,18.3,0.494,4.3,4.8,0.88,1.3,6.1,7.4,3.1,1.9,0.5,2.2,3.2,29.1,,116,107
Steve Smith,24,78,77,2776,9.1,19.8,0.456,1.7,4.8,0.34700000000000003,7.4,15.0,0.491,5.0,6.0,0.835,2.9,3.6,6.5,7.3,1.5,0.6,3.7,4.0,24.8,,114,109
Rony Seikaly,28,72,60,2410,8.3,17.1,0.488,0.0,0.0,0.0,8.3,17.0,0.489,6.5,9.0,0.72,5.2,10.5,15.7,2.9,1.3,2.1,4.1,5.9,23.1,,108,103
Grant Long,27,69,59,2201,7.0,15.6,0.446,0.0,0.1,0.16699999999999998,7.0,15.5,0.449,4.3,5.5,0.7859999999999999,4.4,7.1,11.5,4.0,2.1,0.6,2.9,5.7,18.3,,108,105
Brian Shaw,27,77,52,2037,7.0,16.8,0.41700000000000004,1.8,5.4,0.33799999999999997,5.2,11.3,0.455,1.6,2.2,0.7190000000000001,2.6,6.2,8.8,9.7,1.8,0.5,4.3,4.9,17.4,,103,107
John Salley,29,76,45,1910,5.6,11.7,0.47700000000000004,0.1,0.1,0.667,5.5,11.6,0.47600000000000003,4.4,6.0,0.7290000000000001,3.5,7.4,10.9,3.6,1.5,2.1,2.5,7.0,15.6,,113,105
Bimbo Coles,25,76,4,1726,6.9,15.4,0.449,0.6,2.9,0.20199999999999999,6.3,12.5,0.507,3.0,3.9,0.779,1.5,3.2,4.7,7.8,2.2,0.4,3.2,3.9,17.4,,108,108
Harold Miner,22,63,31,1358,9.6,20.0,0.47700000000000004,0.2,0.2,0.667,9.4,19.8,0.475,5.6,6.8,0.828,2.8,3.1,5.9,3.6,1.2,0.5,3.6,5.0,24.9,,109,110
Matt Geiger,24,72,0,1199,8.6,15.0,0.574,0.0,0.2,0.2,8.6,14.8,0.579,5.0,6.4,0.779,5.1,7.9,12.9,1.4,1.5,1.2,2.6,8.6,22.2,,123,105
Willie Burton,25,53,1,697,9.1,20.8,0.43799999999999994,0.2,1.1,0.2,8.9,19.7,0.451,8.8,11.6,0.759,3.7,6.3,10.0,2.9,1.3,1.5,4.0,7.0,27.2,,107,107
Keith Askins,26,37,0,319,5.8,14.1,0.409,0.6,3.4,0.19,5.1,10.7,0.478,1.4,1.6,0.9,5.3,7.9,13.2,2.1,1.8,0.2,3.4,9.1,13.6,,96,106
Alec Kessler,27,15,0,66,8.5,19.4,0.44,3.9,7.0,0.556,4.7,12.4,0.375,4.7,6.2,0.75,3.1,4.7,7.8,1.6,0.8,0.8,3.9,10.9,25.6,,109,109
Manute Bol,31,8,0,61,0.8,10.1,0.083,0.0,2.5,0.0,0.8,7.6,0.111,0.0,0.0,,0.8,8.4,9.2,0.0,0.0,5.0,4.2,3.4,1.7,,18,105
Morlon Wiley,27,4,0,34,4.5,12.0,0.375,1.5,6.0,0.25,3.0,6.0,0.5,0.0,0.0,,0.0,6.0,6.0,10.5,3.0,0.0,9.0,6.0,10.5,,70,105
Gary Alexander,24,4,0,12,4.3,8.5,0.5,0.0,0.0,,4.3,8.5,0.5,0.0,8.5,0.0,4.3,8.5,12.8,4.3,0.0,0.0,4.3,12.8,8.5,,71,109
