NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
42,Vin Baker,C,6-11,232,1971-11-23,US,8,University of Hartford
31,Brent Barry,SG,6-6,185,1971-12-31,US,6,Oregon State
52,Calvin Booth,C,6-11,230,1976-05-07,US,2,Penn State
14,Predrag Drobnjak,C,6-11,270,1975-10-27,ME,R,
4,Antonio Harvey,PF,6-11,225,1970-07-06,US,6,"Southern Illinois, Georgia, Pfeiffer University"
33,Jerome James,C,7-0,300,1975-11-17,US,1,Florida A&M
7,Rashard Lewis,SF,6-10,215,1979-08-08,US,3,
9,Randy Livingston,PG,6-4,209,1975-04-02,US,5,LSU
35,Art Long,PF,6-9,250,1972-10-01,US,1,Cincinnati
24,Desmond Mason,SF,6-7,224,1977-10-11,US,1,Oklahoma State
0,Olumide Oyedeji,C,6-10,240,1981-05-11,NG,1,
20,Gary Payton,PG,6-4,180,1968-07-23,US,11,Oregon State
77,Vladimir Radmanović,PF,6-10,227,1980-11-19,BA,R,
45,Ansu Sesay,SF,6-9,225,1976-07-29,US,R,Ole Miss
25,Earl Watson,PG,6-1,195,1979-06-12,US,R,UCLA
1,Shammond Williams,SG,6-1,201,1975-04-05,US,3,UNC
