NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
4,Courtney Alexander,SG,6-5,205,1977-04-27,US,1,"Virginia, Fresno State"
5,Kwame Brown,PF,6-11,270,1982-03-10,US,R,
24,Hubert Davis,SG,6-5,183,1970-05-17,US,9,UNC
32,Richard Hamilton,SG,6-6,185,1978-02-14,US,2,UConn
3,Brendan Haywood,C,7-0,268,1979-11-27,US,R,UNC
54,Popeye Jones,PF,6-8,250,1970-06-17,US,8,Murray State
23,Michael Jordan,SF,6-6,198,1963-02-17,US,13,UNC
44,Christian Laettner,PF,6-11,235,1969-08-17,US,9,Duke
10,Tyronn Lue,PG,6-0,175,1977-05-03,US,3,Nebraska
8,Tyrone Nesby,SF,6-6,225,1976-01-31,US,3,UNLV
21,Bobby Simmons,SF,6-7,210,1980-06-02,US,R,DePaul
36,Etan Thomas,C,6-9,256,1978-04-01,US,R,Syracuse
55,Jahidi White,C,6-9,290,1976-02-19,US,3,Georgetown
12,Chris Whitney,PG,6-0,168,1971-10-05,US,8,Clemson
