PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Calvin Natt,23,3,,125,6.0,13.8,0.43799999999999994,0.0,0.6,0.0,6.0,13.2,0.457,1.7,2.9,0.6,2.6,4.3,6.9,0.6,0.6,0.3,2.9,2.0,13.8
Kermit Washington,28,3,,121,3.9,7.7,0.5,0.0,0.3,0.0,3.9,7.4,0.52,1.5,2.4,0.625,3.6,5.7,9.2,1.8,0.3,1.2,1.2,2.7,9.2
Ron Brewer,24,3,,106,8.8,20.7,0.426,0.0,1.0,0.0,8.8,19.7,0.44799999999999995,1.7,3.1,0.556,0.3,0.7,1.0,2.0,1.0,0.3,2.4,3.4,19.4
Billy Ray Bates,23,3,,104,10.7,20.4,0.525,0.7,2.4,0.28600000000000003,10.0,18.0,0.5579999999999999,3.8,4.8,0.7859999999999999,0.7,2.8,3.5,4.2,1.7,0.3,5.2,4.5,26.0
Tom Owens,30,3,,83,6.1,11.3,0.5379999999999999,0.0,0.0,,6.1,11.3,0.5379999999999999,2.2,3.5,0.625,5.6,3.5,9.1,0.9,0.4,0.9,2.2,6.1,14.3
Jim Brewer,28,3,,67,5.4,5.4,1.0,0.0,0.0,,5.4,5.4,1.0,0.5,1.6,0.33299999999999996,3.2,5.4,8.6,1.6,2.7,1.1,0.5,3.2,11.3
Bob Gross,26,3,,51,2.1,6.4,0.33299999999999996,0.0,0.0,,2.1,6.4,0.33299999999999996,4.2,4.2,1.0,0.7,2.1,2.8,2.8,0.7,0.0,2.1,5.6,8.5
Jim Paxson,22,3,,44,4.1,13.1,0.313,0.0,0.0,,4.1,13.1,0.313,4.9,4.9,1.0,0.0,3.3,3.3,2.5,1.6,0.8,1.6,1.6,13.1
T.R. Dunn,24,3,,24,3.0,12.0,0.25,0.0,0.0,,3.0,12.0,0.25,3.0,3.0,1.0,1.5,4.5,6.0,6.0,1.5,0.0,1.5,4.5,9.0
Dave Twardzik,29,2,,20,1.8,7.2,0.25,0.0,0.0,,1.8,7.2,0.25,0.0,0.0,,1.8,5.4,7.2,3.6,3.6,0.0,5.4,3.6,3.6
