PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Magic Johnson,20,16,,658,5.6,10.9,0.518,0.1,0.4,0.25,5.5,10.4,0.529,4.7,5.8,0.802,2.8,6.3,9.2,8.3,2.7,0.3,3.6,2.6,16.0
Jamaal Wilkes,26,16,,652,7.7,16.2,0.47600000000000003,0.0,0.1,0.0,7.7,16.2,0.478,2.4,3.0,0.815,2.9,4.1,7.1,2.7,1.3,0.3,1.9,2.8,17.9
Norm Nixon,24,16,,648,6.3,13.3,0.47700000000000004,0.1,0.3,0.2,6.3,13.0,0.483,2.3,2.8,0.804,0.7,2.4,3.1,6.9,1.8,0.2,2.7,3.3,15.0
Kareem Abdul-Jabbar,32,15,,618,11.5,20.2,0.5720000000000001,0.0,0.0,,11.5,20.2,0.5720000000000001,4.8,6.1,0.79,3.0,7.6,10.5,2.7,1.0,3.4,3.2,3.0,27.9
Michael Cooper,23,16,,464,4.4,10.9,0.40700000000000003,0.0,0.2,0.0,4.4,10.7,0.413,2.4,2.8,0.861,2.2,2.4,4.6,4.5,1.9,0.9,2.3,4.2,11.3
Jim Chones,30,16,,439,3.9,9.7,0.40700000000000003,0.0,0.0,,3.9,9.7,0.40700000000000003,1.9,2.8,0.6759999999999999,2.6,5.9,8.5,2.3,0.7,0.5,2.6,4.9,9.8
Mark Landsberger,24,16,,195,4.6,12.7,0.36200000000000004,0.0,0.2,0.0,4.6,12.6,0.368,0.9,1.1,0.833,4.6,8.1,12.7,0.4,0.6,0.4,1.8,6.5,10.2
Spencer Haywood,30,11,,145,6.2,13.2,0.47200000000000003,0.0,0.2,0.0,6.2,12.9,0.48100000000000004,3.2,4.0,0.813,3.5,3.0,6.5,1.0,0.0,1.5,5.0,4.2,15.6
Brad Holland,23,9,,32,5.6,11.3,0.5,0.0,0.0,,5.6,11.3,0.5,4.5,4.5,1.0,2.3,3.4,5.6,3.4,5.6,0.0,3.4,9.0,15.8
Marty Byrnes,23,4,,8,4.5,13.5,0.33299999999999996,0.0,0.0,,4.5,13.5,0.33299999999999996,18.0,27.0,0.667,4.5,0.0,4.5,4.5,0.0,0.0,4.5,0.0,27.0
Butch Lee,23,3,,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,12.0,12.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,18.0,12.0,12.0
