Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,21,1494,SEA,Seattle Supersonics,32.0,NBA,SF,81.0,2533.0,13.3,0.53,0.0,0.26,6.7,11.0,8.8,22.4,1.4,0.8,22.3,17.2,1.7,3.2,4.9,0.09,-0.1,0.4,0.3,1.5
1981,21,1494,SEA,Seattle Supersonics,33.0,NBA,SF,80.0,2324.0,11.3,0.48,0.0,0.25,6.5,10.5,8.6,19.6,1.2,0.6,19.3,20.9,-0.8,2.0,1.2,0.02,-1.4,-0.9,-2.4,-0.2
1982,21,1494,SEA,Seattle Supersonics,34.0,NBA,SF,14.0,187.0,9.8,0.55,0.0,0.44,1.8,8.4,5.2,20.2,1.0,0.9,24.0,15.7,0.0,0.2,0.2,0.06,-2.5,0.3,-2.2,0.0
