PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scottie Pippen,25,17,17,704,7.3,14.4,0.504,0.2,0.9,0.235,7.1,13.6,0.521,4.1,5.2,0.792,1.9,5.8,7.7,5.1,2.1,1.0,2.8,3.0,18.8
Michael Jordan,27,17,17,689,10.3,19.6,0.524,0.5,1.4,0.385,9.8,18.3,0.534,6.5,7.7,0.845,0.9,4.7,5.6,7.4,2.1,1.2,2.2,2.8,27.6
Horace Grant,25,17,17,666,4.9,8.4,0.583,0.0,0.0,,4.9,8.4,0.583,2.4,3.2,0.733,3.0,4.4,7.5,2.1,0.8,0.3,1.1,2.4,12.2
Bill Cartwright,33,17,17,511,4.9,9.5,0.519,0.0,0.0,,4.9,9.5,0.519,1.5,2.3,0.688,1.8,3.9,5.6,2.3,0.6,0.5,1.5,3.9,11.4
John Paxson,30,17,17,487,4.6,8.6,0.53,0.1,1.0,0.14300000000000002,4.4,7.6,0.583,1.0,1.0,1.0,0.1,1.6,1.7,3.9,0.8,0.0,0.4,2.4,10.3
B.J. Armstrong,23,17,0,273,4.6,9.2,0.5,0.4,0.7,0.6,4.2,8.6,0.49200000000000005,2.6,3.3,0.8,0.7,2.9,3.6,5.7,2.5,0.1,1.7,1.7,12.3
Craig Hodges,30,17,0,209,5.7,13.4,0.423,1.9,4.8,0.39299999999999996,3.8,8.6,0.44,0.5,0.7,0.75,0.0,0.7,0.7,1.7,1.9,0.0,1.9,3.6,13.8
Will Perdue,25,17,0,198,5.3,9.6,0.547,0.0,0.0,,5.3,9.6,0.547,2.2,4.0,0.545,5.8,6.0,11.8,0.7,0.4,1.5,2.5,7.5,12.7
Cliff Levingston,30,17,0,192,3.9,7.7,0.512,0.0,0.0,,3.9,7.7,0.512,0.6,1.1,0.5,4.1,3.6,7.7,1.3,1.9,1.3,0.4,5.2,8.4
Stacey King,24,11,0,86,3.3,11.3,0.29600000000000004,0.0,0.4,0.0,3.3,10.9,0.308,2.9,4.6,0.636,3.8,5.4,9.2,0.8,0.4,0.4,3.8,6.3,9.6
Scott Williams,22,12,0,72,3.0,6.5,0.462,0.0,0.5,0.0,3.0,6.0,0.5,5.5,10.0,0.55,2.0,8.0,10.0,1.5,0.5,1.5,2.0,7.5,11.5
Dennis Hopson,25,5,0,18,4.0,12.0,0.33299999999999996,0.0,0.0,,4.0,12.0,0.33299999999999996,8.0,18.0,0.444,4.0,4.0,8.0,2.0,0.0,2.0,2.0,4.0,16.0
