SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,27,SAS,Rod Strickland,24,4,4,168,6.2,14.4,0.43,0.0,1.3,0.0,6.2,13.1,0.48,3.6,4.5,0.81,1.1,3.4,4.5,7.5,1.9,0.0,2.8,3.0,16.1
1991,27,SAS,David Robinson,25,4,4,166,7.6,11.1,0.69,0.0,0.2,0.0,7.6,10.8,0.7,7.2,8.2,0.87,2.4,9.3,11.7,1.7,1.3,3.3,3.3,2.4,22.3
1991,27,SAS,Willie Anderson,24,4,4,159,7.5,15.4,0.48,0.5,2.3,0.2,7.0,13.1,0.53,1.8,2.9,0.62,0.5,3.8,4.3,4.3,1.4,0.5,2.9,3.6,17.2
1991,27,SAS,Sean Elliott,22,4,4,132,4.6,10.9,0.42,0.0,0.8,0.0,4.6,10.1,0.46,6.8,8.7,0.78,2.2,3.8,6.0,4.4,1.1,0.3,2.5,2.5,16.1
1991,27,SAS,Terry Cummings,29,4,4,124,7.3,14.2,0.51,0.0,0.3,0.0,7.3,13.9,0.52,2.6,5.2,0.5,4.1,6.7,10.7,1.2,0.9,0.6,2.6,3.8,17.1
1991,27,SAS,Paul Pressey,32,4,0,124,3.8,9.3,0.41,0.3,1.2,0.25,3.5,8.1,0.43,1.7,2.6,0.67,1.5,1.7,3.2,4.6,2.3,0.9,1.7,4.4,9.6
1991,27,SAS,David Wingate,27,3,0,38,5.7,11.4,0.5,0.0,0.0,,5.7,11.4,0.5,1.9,2.8,0.67,0.9,1.9,2.8,0.9,0.9,0.0,0.9,7.6,13.3
1991,27,SAS,Avery Johnson,25,3,0,19,0.0,9.5,0.0,0.0,1.9,0.0,0.0,7.6,0.0,3.8,3.8,1.0,0.0,0.0,0.0,7.6,1.9,0.0,0.0,5.7,3.8
1991,27,SAS,Sean Higgins,22,3,0,13,0.0,5.5,0.0,0.0,0.0,,0.0,5.5,0.0,0.0,0.0,,0.0,0.0,0.0,2.8,0.0,0.0,0.0,2.8,0.0
1991,27,SAS,Sidney Green,30,3,0,11,9.8,19.6,0.5,0.0,0.0,,9.8,19.6,0.5,6.5,6.5,1.0,3.3,9.8,13.1,0.0,0.0,0.0,3.3,9.8,26.2
1991,27,SAS,Dave Greenwood,33,1,0,5,7.2,7.2,1.0,0.0,0.0,,7.2,7.2,1.0,0.0,0.0,,7.2,7.2,14.4,14.4,0.0,0.0,7.2,0.0,14.4
1991,27,SAS,Tony Massenburg,23,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
