PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Reggie Miller,25,5,5,193,6.3,13.1,0.486,1.5,3.5,0.42100000000000004,4.8,9.5,0.51,6.0,6.9,0.865,0.9,2.1,3.0,2.6,1.5,0.4,2.2,2.6,20.1
Chuck Person,26,5,5,192,9.0,16.9,0.5329999999999999,3.2,5.8,0.5479999999999999,5.8,11.1,0.525,3.2,3.9,0.81,0.6,4.7,5.2,3.0,0.9,0.0,2.3,2.8,24.4
Micheal Williams,24,5,5,183,5.9,12.8,0.462,0.0,0.2,0.0,5.9,12.6,0.469,8.5,9.4,0.8959999999999999,1.4,1.8,3.1,8.3,2.8,0.0,2.4,4.5,20.3
Detlef Schrempf,28,5,0,179,5.4,11.5,0.474,0.0,0.8,0.0,5.4,10.7,0.509,5.0,6.0,0.833,2.0,5.2,7.2,2.2,0.4,0.0,2.2,3.4,15.9
LaSalle Thompson,29,5,5,126,5.4,11.1,0.48700000000000004,0.0,0.0,,5.4,11.1,0.48700000000000004,2.0,2.0,1.0,1.7,7.1,8.9,2.3,1.1,2.0,2.9,4.3,12.9
Vern Fleming,28,5,0,115,5.6,12.5,0.45,0.0,0.3,0.0,5.6,12.2,0.462,3.4,4.4,0.7859999999999999,3.1,2.2,5.3,7.2,0.3,0.9,2.5,3.1,14.7
Rik Smits,24,5,0,88,8.6,15.1,0.568,0.0,0.0,,8.6,15.1,0.568,2.9,3.3,0.875,1.6,5.7,7.4,0.8,0.4,2.9,2.0,9.4,20.0
Greg Dreiling,28,5,5,75,2.4,7.2,0.33299999999999996,0.0,0.0,,2.4,7.2,0.33299999999999996,1.9,2.9,0.667,3.8,4.8,8.6,0.0,0.0,0.0,1.4,8.2,6.7
Mike Sanders,30,5,0,41,5.3,8.8,0.6,0.9,1.8,0.5,4.4,7.0,0.625,1.8,3.5,0.5,0.0,3.5,3.5,3.5,3.5,1.8,0.9,7.9,13.2
Randy Wittman,31,1,0,6,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,12.0
Kenny Williams,21,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
