PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Dwight Howard,21,82,82,3023,9.3,15.4,0.603,0.0,0.0,0.5,9.3,15.4,0.603,6.9,11.8,0.586,5.0,12.8,17.8,2.8,1.2,2.8,5.6,4.3,25.5,,107,99
Jameer Nelson,24,77,77,2331,8.6,20.1,0.43,1.5,4.4,0.335,7.1,15.6,0.457,4.2,5.1,0.828,1.1,4.3,5.4,7.6,1.7,0.1,4.2,5.2,22.9,,103,107
Hedo Türkoğlu,27,73,73,2268,8.1,19.4,0.419,2.6,6.6,0.38799999999999996,5.6,12.8,0.435,4.0,5.2,0.7809999999999999,1.3,5.6,6.9,5.5,1.6,0.4,3.4,5.2,22.8,,106,105
Grant Hill,34,65,64,2009,9.1,17.5,0.518,0.1,0.3,0.16699999999999998,9.0,17.2,0.525,6.6,8.6,0.765,1.4,4.9,6.3,3.7,1.6,0.7,3.8,3.9,24.8,,109,106
Darko Miličić,21,80,16,1913,7.0,15.3,0.45399999999999996,0.0,0.0,0.0,7.0,15.3,0.455,3.9,6.4,0.613,4.0,8.2,12.2,2.5,1.2,3.9,3.5,6.1,17.8,,98,101
Tony Battie,30,66,66,1575,6.0,12.2,0.489,0.0,0.0,0.0,6.0,12.2,0.49,1.8,2.6,0.675,3.1,8.5,11.7,1.2,1.0,1.0,2.1,6.3,13.7,,103,104
Keyon Dooling,26,66,2,1435,7.0,17.0,0.41,1.2,3.6,0.32299999999999995,5.8,13.5,0.434,4.2,5.2,0.809,0.8,2.4,3.2,4.2,1.9,0.6,2.7,4.7,19.4,,102,107
Carlos Arroyo,27,72,5,1304,8.3,19.6,0.425,0.6,2.1,0.275,7.7,17.5,0.44299999999999995,5.4,6.8,0.795,1.3,4.2,5.5,8.3,1.6,0.1,3.7,5.4,22.6,,105,107
Trevor Ariza,21,57,7,1278,8.4,15.5,0.539,0.0,0.3,0.0,8.4,15.2,0.5489999999999999,4.4,7.1,0.62,4.1,6.3,10.4,2.7,2.5,0.8,3.5,5.6,21.2,,108,103
Keith Bogans,26,59,18,990,5.3,13.2,0.40399999999999997,2.9,7.4,0.387,2.5,5.8,0.426,2.5,3.4,0.746,0.9,4.2,5.0,3.2,1.5,0.1,2.5,5.3,16.1,,106,107
J.J. Redick,22,42,0,622,6.9,16.7,0.41,3.3,8.4,0.38799999999999996,3.6,8.3,0.433,4.6,5.2,0.9,0.9,3.6,4.5,3.1,1.0,0.0,1.8,4.5,21.6,,117,108
Bo Outlaw,35,41,0,460,3.9,5.9,0.667,0.0,0.0,,3.9,5.9,0.667,1.5,2.6,0.591,5.5,6.9,12.3,1.9,2.0,0.7,2.4,6.6,9.4,,119,103
Travis Diener,24,26,0,288,6.3,14.8,0.425,3.3,9.3,0.36,3.0,5.6,0.5329999999999999,2.2,2.8,0.8,0.6,2.8,3.3,6.5,0.7,0.0,2.4,5.0,18.2,,115,110
Pat Garrity,30,33,0,277,4.2,13.5,0.314,2.1,6.2,0.344,2.1,7.3,0.289,3.1,3.5,0.889,2.3,5.8,8.1,2.7,1.3,0.0,2.7,7.1,13.7,,95,106
James Augustine,22,2,0,7,7.6,22.9,0.33299999999999996,0.0,0.0,,7.6,22.9,0.33299999999999996,0.0,0.0,,7.6,15.3,22.9,15.3,0.0,0.0,0.0,15.3,15.3,,112,102
