Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2010,19,578,NOH,New Orleans Hornets,22.0,NBA,PG,76.0,37.0,2109.0,376.0,789.0,0.48,46.0,115.0,0.4,330.0,674.0,0.49,0.51,148.0,174.0,0.85,41.0,151.0,192.0,432.0,78.0,4.0,202.0,92.0,946.0,,1.0
2011,12,578,IND,Indiana Pacers,23.0,NBA,PG,79.0,79.0,2360.0,398.0,870.0,0.46,41.0,124.0,0.33,357.0,746.0,0.48,0.48,202.0,232.0,0.87,40.0,185.0,225.0,403.0,87.0,14.0,194.0,109.0,1039.0,,0.0
2012,12,578,IND,Indiana Pacers,24.0,NBA,PG,60.0,56.0,1878.0,230.0,523.0,0.44,34.0,94.0,0.36,196.0,429.0,0.46,0.47,127.0,153.0,0.83,30.0,157.0,187.0,287.0,49.0,14.0,114.0,101.0,621.0,,0.0
2013,7,578,DAL,Dallas Mavericks,25.0,NBA,PG,81.0,47.0,2372.0,341.0,724.0,0.47,48.0,136.0,0.35,293.0,588.0,0.5,0.5,242.0,275.0,0.88,31.0,188.0,219.0,415.0,100.0,8.0,173.0,139.0,972.0,,0.0
2014,13,578,LAC,Los Angeles Clippers,26.0,NBA,PG,80.0,35.0,2069.0,324.0,694.0,0.47,71.0,189.0,0.38,253.0,505.0,0.5,0.52,192.0,224.0,0.86,47.0,141.0,188.0,297.0,93.0,15.0,132.0,150.0,911.0,,0.0
2015,26,578,SAC,Sacramento Kings,27.0,NBA,PG,45.0,45.0,1565.0,260.0,550.0,0.47,60.0,161.0,0.37,200.0,389.0,0.51,0.53,145.0,184.0,0.79,19.0,124.0,143.0,252.0,67.0,14.0,112.0,95.0,725.0,,0.0
2016,26,578,SAC,Sacramento Kings,28.0,NBA,PG,74.0,15.0,2219.0,377.0,776.0,0.49,87.0,217.0,0.4,290.0,559.0,0.52,0.54,194.0,226.0,0.86,28.0,141.0,169.0,318.0,76.0,4.0,130.0,142.0,1035.0,,0.0
2017,26,578,SAC,Sacramento Kings,29.0,NBA,PG,68.0,64.0,2063.0,340.0,714.0,0.48,73.0,175.0,0.42,267.0,539.0,0.5,0.53,147.0,171.0,0.86,23.0,129.0,152.0,312.0,67.0,9.0,114.0,119.0,900.0,,0.0
2018,12,578,IND,Indiana Pacers,30.0,NBA,PG,69.0,64.0,2018.0,316.0,638.0,0.5,96.0,205.0,0.47,220.0,433.0,0.51,0.57,127.0,144.0,0.88,37.0,141.0,178.0,368.0,92.0,15.0,86.0,122.0,855.0,,0.0
2019,12,578,IND,Indiana Pacers,31.0,NBA,PG,76.0,76.0,2143.0,308.0,659.0,0.47,79.0,194.0,0.41,229.0,465.0,0.49,0.53,158.0,190.0,0.83,36.0,196.0,232.0,459.0,110.0,9.0,125.0,138.0,853.0,,0.0
