Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2014,30,2340,WAS,Washington Wizards,Otto Porter,"June 3, 1993",20.0,NBA,SF,37.0,0.0,319.0,5.3,14.7,0.36,0.6,3.4,0.19,4.7,11.3,0.41,1.3,1.9,0.67,3.4,5.8,9.2,1.6,1.3,0.2,2.3,4.2,12.6,,86.0,107.0
2015,30,2340,WAS,Washington Wizards,Otto Porter,"June 3, 1993",21.0,NBA,SF,74.0,13.0,1432.0,6.3,14.0,0.45,1.3,3.7,0.34,5.0,10.3,0.49,2.1,2.8,0.73,2.5,5.4,7.9,2.3,1.6,1.1,1.9,3.5,15.9,,105.0,104.0
2016,30,2340,WAS,Washington Wizards,Otto Porter,"June 3, 1993",22.0,NBA,SF,75.0,73.0,2276.0,7.3,15.4,0.47,2.1,5.7,0.37,5.2,9.6,0.54,2.0,2.7,0.75,2.1,6.3,8.4,2.6,2.2,0.7,1.5,3.5,18.7,,112.0,105.0
2017,30,2340,WAS,Washington Wizards,Otto Porter,"June 3, 1993",23.0,NBA,SF,80.0,80.0,2605.0,7.8,15.2,0.52,2.8,6.5,0.43,5.0,8.7,0.58,1.9,2.3,0.83,2.2,7.5,9.7,2.3,2.2,0.8,0.8,3.7,20.3,,129.0,108.0
2018,30,2340,WAS,Washington Wizards,Otto Porter,"June 3, 1993",24.0,NBA,SF,77.0,77.0,2432.0,9.1,18.1,0.5,2.8,6.4,0.44,6.3,11.7,0.54,2.2,2.6,0.83,2.1,7.9,10.0,3.2,2.4,0.8,1.5,3.1,23.2,,120.0,107.0
2019,31,2340,TOT,Total After Trade,Otto Porter,"June 3, 1993",25.0,NBA,SF,56.0,43.0,1683.0,8.5,18.2,0.46,2.9,7.3,0.41,5.5,11.0,0.5,2.2,2.7,0.81,1.5,7.4,8.9,3.4,2.3,0.9,1.8,3.1,22.1,,111.0,112.0
2019,30,2340,WAS,Washington Wizards,Otto Porter,"June 3, 1993",25.0,NBA,SF,41.0,28.0,1191.0,8.0,17.6,0.46,2.6,7.0,0.37,5.4,10.6,0.52,1.9,2.5,0.77,1.6,7.6,9.2,3.2,2.5,0.9,1.6,3.1,20.6,,110.0,111.0
2019,5,2340,CHI,Chicago Bulls,Otto Porter,"June 3, 1993",25.0,NBA,SF,15.0,15.0,492.0,9.6,19.8,0.48,3.8,7.9,0.49,5.7,11.9,0.48,2.9,3.2,0.91,1.4,6.8,8.2,3.9,1.8,0.9,2.5,2.9,25.8,,115.0,113.0
2020,5,2340,CHI,Chicago Bulls,Otto Porter,"June 3, 1993",26.0,NBA,SF,14.0,9.0,331.0,9.0,20.4,0.44,3.5,9.0,0.39,5.5,11.4,0.49,2.8,3.9,0.7,1.9,5.1,7.0,3.6,2.2,0.9,1.6,4.5,24.3,,112.0,110.0
2021,5,2340,CHI,Chicago Bulls,Otto Porter,"June 3, 1993",27.0,NBA,SF,16.0,6.0,372.0,8.0,18.1,0.44,3.5,8.8,0.4,4.5,9.3,0.49,3.8,4.5,0.83,2.5,10.0,12.6,4.0,1.1,0.4,1.9,3.1,23.4,,118.0,112.0
