Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,23,1084,PHI,Philadelphia 76Ers,20.0,NBA,SF,65.0,11.0,1377.0,124.0,352.0,0.35,49.0,156.0,0.31,75.0,196.0,0.38,0.42,114.0,193.0,0.59,49.0,149.0,198.0,79.0,40.0,68.0,85.0,144.0,411.0
2016,23,1084,PHI,Philadelphia 76Ers,21.0,NBA,PF,77.0,52.0,2066.0,251.0,599.0,0.42,35.0,146.0,0.24,216.0,453.0,0.48,0.45,212.0,322.0,0.66,99.0,262.0,361.0,135.0,54.0,127.0,110.0,215.0,749.0
2017,31,1084,TOT,Total After Trade,22.0,NBA,PF,80.0,4.0,1531.0,152.0,328.0,0.46,43.0,116.0,0.37,109.0,212.0,0.51,0.53,90.0,147.0,0.61,38.0,167.0,205.0,46.0,33.0,79.0,44.0,149.0,437.0
2017,23,1084,PHI,Philadelphia 76Ers,22.0,NBA,PF,2.0,0.0,41.0,6.0,17.0,0.35,0.0,2.0,0.0,6.0,15.0,0.4,0.35,4.0,8.0,0.5,0.0,6.0,6.0,0.0,0.0,4.0,3.0,5.0,16.0
2017,21,1084,OKC,Oklahoma City Thunder,22.0,NBA,PF,78.0,4.0,1490.0,146.0,311.0,0.47,43.0,114.0,0.38,103.0,197.0,0.52,0.54,86.0,139.0,0.62,38.0,161.0,199.0,46.0,33.0,75.0,41.0,144.0,421.0
2018,21,1084,OKC,Oklahoma City Thunder,23.0,NBA,PF,81.0,1.0,1647.0,244.0,456.0,0.54,32.0,110.0,0.29,212.0,346.0,0.61,0.57,162.0,240.0,0.68,86.0,233.0,319.0,57.0,31.0,77.0,54.0,155.0,682.0
2019,21,1084,OKC,Oklahoma City Thunder,24.0,NBA,PF,80.0,77.0,2612.0,409.0,823.0,0.5,115.0,293.0,0.39,294.0,530.0,0.56,0.57,157.0,221.0,0.71,96.0,321.0,417.0,79.0,61.0,100.0,67.0,214.0,1090.0
2020,8,1084,DEN,Denver Nuggets,25.0,NBA,PF,71.0,24.0,1892.0,303.0,634.0,0.48,98.0,252.0,0.39,205.0,382.0,0.54,0.56,147.0,196.0,0.75,58.0,190.0,248.0,88.0,50.0,57.0,63.0,154.0,851.0
2021,9,1084,DET,Detroit Pistons,26.0,NBA,SF,21.0,21.0,753.0,164.0,364.0,0.45,53.0,132.0,0.4,111.0,232.0,0.48,0.52,117.0,135.0,0.87,23.0,99.0,122.0,61.0,18.0,25.0,32.0,58.0,498.0
