SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1991,2,BOS,56,26,.683,—,111.5,105.7,5.22
1991,23,PHI,44,38,.537,12.0,105.4,105.6,-0.39
1991,20,NYK,39,43,.476,17.0,103.1,103.3,-0.43
1991,30,WAB,30,52,.366,26.0,101.4,106.4,-4.84
1991,3,NJN,26,56,.317,30.0,102.9,107.5,-4.53
1991,16,MIA,24,58,.293,32.0,101.8,107.8,-5.91
1991,5,CHI,61,21,.744,—,110.0,101.0,8.57
1991,9,DET,50,32,.610,11.0,100.1,96.8,3.08
1991,17,MIL,48,34,.585,13.0,106.4,104.0,2.33
1991,1,ALT,43,39,.524,18.0,109.8,109.0,0.72
1991,12,IND,41,41,.500,20.0,111.7,112.1,-0.37
1991,6,CLE,33,49,.402,28.0,101.7,104.2,-2.33
1991,4,CHO,26,56,.317,35.0,102.8,108.0,-4.95
