SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2014,28,TOR,48,34,.585,—,101.3,98.0,2.55
2014,3,BRK,44,38,.537,4.0,98.5,99.5,-1.58
2014,20,NYK,37,45,.451,11.0,98.6,99.4,-1.40
2014,2,BOS,25,57,.305,23.0,96.2,100.7,-4.97
2014,23,PHI,19,63,.232,29.0,99.5,109.9,-10.66
2014,12,IND,56,26,.683,—,96.7,92.3,3.63
2014,5,CHI,48,34,.585,8.0,93.7,91.8,1.20
2014,6,CLE,33,49,.402,23.0,98.2,101.5,-3.86
2014,9,DET,29,53,.354,27.0,101.0,104.7,-4.13
2014,17,MIL,15,67,.183,41.0,95.5,103.7,-8.41
2014,16,MIA,54,28,.659,—,102.2,97.4,4.15
2014,30,WAS,44,38,.537,10.0,100.7,99.4,0.48
2014,4,CHA,43,39,.524,11.0,96.9,97.1,-0.89
2014,1,ALT,38,44,.463,16.0,101.0,101.5,-0.88
2014,22,ORL,23,59,.280,31.0,96.5,102.0,-5.88
