SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1982,2,BOS,63,19,.768,—,112.0,105.6,6.35
1982,23,PHI,58,24,.707,5.0,111.2,105.5,5.74
1982,3,NJN,44,38,.537,19.0,106.7,106.0,0.87
1982,30,WAB,43,39,.524,20.0,103.5,102.6,1.06
1982,20,NYK,33,49,.402,30.0,106.2,108.9,-2.15
1982,17,MIL,55,27,.671,—,108.4,102.9,5.38
1982,1,ALT,42,40,.512,13.0,101.0,100.5,0.81
1982,9,DET,39,43,.476,16.0,111.1,112.0,-0.63
1982,12,IND,35,47,.427,20.0,102.2,104.0,-1.49
1982,5,CHI,34,48,.415,21.0,106.6,108.6,-1.57
1982,6,CLE,15,67,.183,40.0,103.2,111.7,-7.77
