SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1983,23,PHI,65,17,.793,—,112.1,104.4,7.53
1983,2,BOS,56,26,.683,9.0,112.1,106.7,5.34
1983,3,NJN,49,33,.598,16.0,105.8,103.0,2.77
1983,20,NYK,44,38,.537,21.0,100.0,97.5,2.58
1983,30,WAB,42,40,.512,23.0,99.2,99.3,0.20
1983,17,MIL,51,31,.622,—,106.6,102.2,4.32
1983,1,ALT,43,39,.524,8.0,101.6,102.6,-0.72
1983,9,DET,37,45,.451,14.0,112.7,113.1,-0.17
1983,5,CHI,28,54,.341,23.0,111.0,115.9,-4.41
1983,6,CLE,23,59,.280,28.0,97.1,104.6,-6.78
1983,12,IND,20,62,.244,31.0,108.7,114.5,-5.36
