SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2005,2,BOS,45,37,.549,—,101.3,100.4,0.35
2005,23,PHI,43,39,.524,2.0,99.1,99.9,-1.07
2005,3,NJN,42,40,.512,3.0,91.4,92.9,-1.82
2005,28,TOR,33,49,.402,12.0,99.7,101.4,-1.81
2005,20,NYK,33,49,.402,12.0,97.3,99.7,-2.72
2005,9,DET,54,28,.659,—,93.3,89.5,3.31
2005,5,CHI,47,35,.573,7.0,94.5,93.4,0.65
2005,12,IND,44,38,.537,10.0,93.0,92.2,0.49
2005,6,CLE,42,40,.512,12.0,96.5,95.7,0.27
2005,17,MIL,30,52,.366,24.0,97.2,100.2,-3.09
2005,16,MIA,59,23,.720,—,101.5,95.0,5.77
2005,30,WAS,45,37,.549,14.0,100.5,100.8,-0.71
2005,22,ORL,36,46,.439,23.0,99.5,101.8,-2.52
2005,4,CHA,18,64,.220,41.0,94.3,100.2,-6.15
2005,1,ALT,13,69,.159,46.0,92.7,102.5,-9.62
