Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2001,,678,CHH,None,21.0,NBA,PG,82.0,82.0,3192.0,409.0,957.0,0.43,85.0,274.0,0.31,324.0,683.0,0.47,0.47,228.0,337.0,0.68,129.0,279.0,408.0,598.0,170.0,36.0,226.0,267.0,1131.0,,2.0
2002,,678,CHH,None,22.0,NBA,PG,82.0,82.0,3318.0,559.0,1341.0,0.42,170.0,478.0,0.36,389.0,863.0,0.45,0.48,196.0,338.0,0.58,93.0,256.0,349.0,698.0,172.0,47.0,246.0,241.0,1484.0,,1.0
2003,19.0,678,NOH,New Orleans Hornets,23.0,NBA,PG,50.0,47.0,1889.0,332.0,798.0,0.42,99.0,283.0,0.35,233.0,515.0,0.45,0.48,93.0,131.0,0.71,56.0,130.0,186.0,320.0,91.0,22.0,140.0,148.0,856.0,,0.0
2004,19.0,678,NOH,New Orleans Hornets,24.0,NBA,PG,67.0,66.0,2686.0,554.0,1402.0,0.4,187.0,582.0,0.32,367.0,820.0,0.45,0.46,237.0,352.0,0.67,66.0,221.0,287.0,501.0,158.0,27.0,215.0,178.0,1532.0,,0.0
2005,31.0,678,TOT,Total After Trade,25.0,NBA,PG,46.0,32.0,1581.0,291.0,752.0,0.39,118.0,354.0,0.33,173.0,398.0,0.44,0.46,185.0,243.0,0.76,32.0,143.0,175.0,362.0,81.0,14.0,131.0,126.0,885.0,,1.0
2005,19.0,678,NOH,New Orleans Hornets,25.0,NBA,PG,18.0,13.0,593.0,111.0,303.0,0.37,44.0,137.0,0.32,67.0,166.0,0.4,0.44,74.0,96.0,0.77,16.0,51.0,67.0,129.0,31.0,4.0,38.0,52.0,340.0,,1.0
2005,10.0,678,GSW,Golden State Warriors,25.0,NBA,PG,28.0,19.0,988.0,180.0,449.0,0.4,74.0,217.0,0.34,106.0,232.0,0.46,0.48,111.0,147.0,0.76,16.0,92.0,108.0,233.0,50.0,10.0,93.0,74.0,545.0,,0.0
2006,10.0,678,GSW,Golden State Warriors,26.0,NBA,PG,54.0,48.0,1971.0,335.0,861.0,0.39,102.0,324.0,0.32,233.0,537.0,0.43,0.45,195.0,289.0,0.68,45.0,191.0,236.0,480.0,89.0,14.0,159.0,165.0,967.0,,1.0
2007,10.0,678,GSW,Golden State Warriors,27.0,NBA,PG,63.0,62.0,2221.0,452.0,1030.0,0.44,85.0,280.0,0.3,367.0,750.0,0.49,0.48,275.0,369.0,0.74,51.0,225.0,276.0,509.0,135.0,29.0,193.0,181.0,1264.0,,1.0
2008,10.0,678,GSW,Golden State Warriors,28.0,NBA,PG,82.0,82.0,3196.0,650.0,1526.0,0.43,173.0,525.0,0.33,477.0,1001.0,0.48,0.48,318.0,424.0,0.75,96.0,289.0,385.0,623.0,191.0,43.0,232.0,247.0,1791.0,,3.0
2009,13.0,678,LAC,Los Angeles Clippers,29.0,NBA,PG,65.0,60.0,2248.0,355.0,959.0,0.37,99.0,328.0,0.3,256.0,631.0,0.41,0.42,159.0,210.0,0.76,46.0,192.0,238.0,501.0,108.0,35.0,193.0,193.0,968.0,,0.0
2010,13.0,678,LAC,Los Angeles Clippers,30.0,NBA,PG,75.0,73.0,2523.0,412.0,1015.0,0.41,82.0,296.0,0.28,330.0,719.0,0.46,0.45,239.0,291.0,0.82,52.0,214.0,266.0,598.0,126.0,43.0,211.0,210.0,1145.0,,1.0
2011,31.0,678,TOT,Total After Trade,31.0,NBA,PG,58.0,44.0,1649.0,289.0,693.0,0.42,81.0,239.0,0.34,208.0,454.0,0.46,0.48,101.0,131.0,0.77,35.0,121.0,156.0,391.0,78.0,28.0,146.0,143.0,760.0,,0.0
2011,13.0,678,LAC,Los Angeles Clippers,31.0,NBA,PG,43.0,35.0,1269.0,214.0,515.0,0.42,45.0,152.0,0.3,169.0,363.0,0.47,0.46,79.0,104.0,0.76,29.0,91.0,120.0,299.0,62.0,22.0,107.0,114.0,552.0,,0.0
2011,6.0,678,CLE,Cleveland Cavaliers,31.0,NBA,PG,15.0,9.0,380.0,75.0,178.0,0.42,36.0,87.0,0.41,39.0,91.0,0.43,0.52,22.0,27.0,0.82,6.0,30.0,36.0,92.0,16.0,6.0,39.0,29.0,208.0,,0.0
2012,20.0,678,NYK,New York Knicks,32.0,NBA,PG,29.0,14.0,595.0,68.0,184.0,0.37,26.0,85.0,0.31,42.0,99.0,0.42,0.44,16.0,24.0,0.67,13.0,43.0,56.0,135.0,34.0,3.0,76.0,61.0,178.0,,0.0
