Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2010,21.0,OKC,NBA,PG,6.0,6.0,212.0,10.7,22.7,0.473,1.2,3.0,0.417,9.5,19.7,0.481,8.0,9.5,0.842,2.5,6.5,9.0,9.0,2.5,0.2,3.5,3.2,30.7,,117.0,105.0
2011,22.0,OKC,NBA,PG,17.0,17.0,638.0,11.2,28.4,0.394,1.2,4.0,0.292,10.0,24.4,0.41,10.0,11.8,0.852,3.0,4.6,7.5,8.9,2.0,0.5,6.5,4.6,33.5,,103.0,109.0
2012,23.0,OKC,NBA,PG,20.0,20.0,767.0,12.2,28.1,0.435,1.2,4.5,0.277,11.0,23.6,0.465,6.1,7.7,0.802,1.5,6.0,7.5,8.1,2.1,0.6,3.1,3.4,31.9,,108.0,109.0
2013,24.0,OKC,NBA,PG,2.0,2.0,68.0,12.9,31.2,0.415,1.5,6.8,0.222,11.4,24.3,0.469,9.1,10.7,0.857,0.8,9.1,9.9,10.7,4.6,0.0,6.1,3.8,36.5,,101.0,97.0
2014,25.0,OKC,NBA,PG,19.0,19.0,735.0,11.8,28.2,0.42,2.0,7.1,0.28,9.8,21.1,0.466,10.3,11.6,0.884,3.2,6.6,9.8,10.8,2.9,0.4,5.9,4.4,35.9,,111.0,107.0
2016,27.0,OKC,NBA,PG,18.0,18.0,674.0,11.9,29.4,0.405,2.5,7.9,0.324,9.4,21.5,0.434,8.7,10.5,0.829,3.1,6.2,9.3,14.8,3.4,0.1,5.8,3.2,35.0,,112.0,104.0
2017,28.0,OKC,NBA,PG,5.0,5.0,194.0,14.8,38.1,0.388,3.3,12.3,0.265,11.5,25.9,0.447,14.1,17.6,0.8,2.3,12.3,14.6,13.6,3.0,0.5,7.5,4.0,46.9,,105.0,109.0
2018,29.0,OKC,NBA,PG,6.0,6.0,235.0,13.4,33.6,0.398,3.1,8.8,0.357,10.2,24.9,0.412,6.9,8.4,0.825,2.3,12.7,15.0,9.4,1.9,0.0,6.5,4.4,36.8,,99.0,105.0
2019,30.0,OKC,NBA,PG,5.0,5.0,197.0,9.8,27.1,0.36,2.7,8.3,0.324,7.1,18.8,0.377,5.6,6.3,0.885,1.7,9.0,10.7,12.9,1.2,0.7,5.6,4.6,27.8,,99.0,111.0
2020,31.0,HOU,NBA,PG,8.0,8.0,262.0,11.0,26.0,0.421,1.5,6.1,0.242,9.5,19.9,0.477,3.2,5.9,0.531,2.0,8.4,10.4,6.9,2.2,0.4,5.6,4.3,26.6,,89.0,106.0
