Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,24.0,IND,NBA,SG,3,3,125,5.8,10.1,0.571,0.9,2.0,0.429,4.9,8.1,0.607,5.5,6.0,0.905,0.3,3.2,3.5,1.7,0.9,0.0,0.9,1.7,17.9
1991,25.0,IND,NBA,SG,5,5,193,6.3,13.1,0.486,1.5,3.5,0.421,4.8,9.5,0.51,6.0,6.9,0.865,0.9,2.1,3.0,2.6,1.5,0.4,2.2,2.6,20.1
1992,26.0,IND,NBA,SG,3,3,130,6.9,11.9,0.581,1.9,3.0,0.636,5.0,8.9,0.563,6.6,8.3,0.8,1.1,0.8,1.9,3.9,1.1,0.0,1.1,3.3,22.4
1993,27.0,IND,NBA,SG,4,4,175,8.2,15.4,0.533,2.1,3.9,0.526,6.2,11.5,0.536,7.4,7.8,0.947,0.8,1.6,2.5,2.3,0.6,0.0,2.1,2.3,25.9
1994,28.0,IND,NBA,SG,16,16,576,7.6,16.9,0.448,2.2,5.2,0.422,5.4,11.7,0.46,5.9,7.0,0.839,0.7,2.3,3.0,2.9,1.3,0.2,2.0,2.1,23.2
1995,29.0,IND,NBA,SG,17,17,641,7.8,16.3,0.476,3.0,7.2,0.422,4.7,9.1,0.519,5.8,6.8,0.86,0.5,2.9,3.4,2.0,0.8,0.2,2.2,2.0,24.4
1996,30.0,IND,NBA,SG,1,1,31,8.1,19.7,0.412,2.3,7.0,0.333,5.8,12.8,0.455,15.1,17.4,0.867,1.2,0.0,1.2,1.2,1.2,0.0,0.0,1.2,33.7
1998,32.0,IND,NBA,SG,16,16,628,5.6,13.2,0.426,2.2,5.4,0.4,3.4,7.7,0.444,4.9,5.4,0.904,0.3,1.3,1.6,1.8,1.1,0.2,1.5,1.5,18.3
1999,33.0,IND,NBA,SG,13,13,481,5.9,14.9,0.397,2.1,6.3,0.333,3.8,8.6,0.443,5.8,6.4,0.895,1.0,2.8,3.8,2.5,0.7,0.2,1.6,1.9,19.7
2001,35.0,IND,NBA,SG,4,4,177,8.3,18.3,0.456,3.1,7.1,0.429,5.3,11.2,0.473,5.7,6.1,0.933,1.4,2.6,4.1,2.0,0.6,0.4,2.2,0.6,25.4
2002,36.0,IND,NBA,SG,5,5,198,7.6,15.1,0.506,2.4,5.6,0.419,5.3,9.5,0.558,3.8,4.4,0.875,0.0,2.9,2.9,2.5,1.5,0.2,2.5,1.8,21.5
2003,37.0,IND,NBA,SG,6,6,176,3.1,10.8,0.283,0.8,5.1,0.16,2.3,5.7,0.393,4.3,4.7,0.913,0.2,2.7,2.9,2.9,0.2,0.2,1.4,1.8,11.3
2004,38.0,IND,NBA,SG,16,16,455,3.6,8.9,0.402,1.9,5.1,0.375,1.7,3.8,0.438,3.7,4.0,0.922,0.2,2.7,2.9,3.6,1.4,0.2,2.2,1.8,12.7
2005,39.0,IND,NBA,SG,13,13,430,5.2,12.0,0.434,1.8,5.5,0.318,3.4,6.4,0.532,4.0,4.3,0.941,0.3,3.0,3.3,1.7,0.8,0.1,1.8,2.3,16.2
