Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1999,7,2785,DAL,Dallas Mavericks,Bruno Sundov,"February 10, 1980",18.0,NBA,C,3.0,11.0,-8.8,0.29,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,12.5,33.4,-0.1,0.0,-0.1,-0.33,-14.9,-4.5,-19.4,0.0
2000,7,2785,DAL,Dallas Mavericks,Bruno Sundov,"February 10, 1980",19.0,NBA,C,14.0,61.0,7.8,0.41,0.0,0.06,8.9,12.3,10.6,5.3,1.7,2.2,11.1,26.0,-0.1,0.0,-0.1,-0.05,-8.6,-2.4,-11.0,-0.1
2001,12,2785,IND,Indiana Pacers,Bruno Sundov,"February 10, 1980",20.0,NBA,C,11.0,120.0,11.0,0.5,0.1,0.12,3.9,17.4,10.9,3.1,0.9,2.4,6.5,18.0,0.1,0.1,0.2,0.08,-4.0,-0.3,-4.3,-0.1
2002,12,2785,IND,Indiana Pacers,Bruno Sundov,"February 10, 1980",21.0,NBA,C,22.0,88.0,8.7,0.39,0.02,0.05,9.2,17.5,13.5,6.1,1.8,2.4,8.9,23.1,-0.2,0.1,0.0,-0.02,-5.9,-0.7,-6.6,-0.1
2003,2,2785,BOS,Boston Celtics,Bruno Sundov,"February 10, 1980",22.0,NBA,C,26.0,138.0,1.2,0.28,0.29,0.04,6.4,16.9,11.5,8.8,2.3,1.7,13.7,22.2,-0.6,0.2,-0.4,-0.14,-8.7,-1.1,-9.8,-0.3
2004,31,2785,TOT,Total After Trade,Bruno Sundov,"February 10, 1980",23.0,NBA,C,5.0,33.0,3.5,0.44,0.0,0.6,6.7,26.8,16.8,6.4,0.0,0.0,19.2,21.3,-0.1,0.0,0.0,-0.05,-9.1,-1.6,-10.7,-0.1
2004,6,2785,CLE,Cleveland Cavaliers,Bruno Sundov,"February 10, 1980",23.0,NBA,C,4.0,29.0,0.9,0.39,0.0,0.67,7.6,30.5,19.1,0.0,0.0,0.0,20.5,22.6,-0.1,0.0,-0.1,-0.11,-10.6,-3.4,-14.0,-0.1
2004,20,2785,NYK,New York Knicks,Bruno Sundov,"February 10, 1980",23.0,NBA,C,1.0,4.0,22.4,1.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.42,2.3,11.3,13.7,0.0
2005,20,2785,NYK,New York Knicks,Bruno Sundov,"February 10, 1980",24.0,NBA,C,21.0,73.0,1.2,0.33,0.08,0.05,9.6,11.3,10.5,4.6,1.5,2.1,13.7,27.4,-0.3,0.0,-0.3,-0.17,-10.4,-3.3,-13.6,-0.2
