NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
14,D.J. Augustin,PG,5-11,183,1987-11-10,US,3,Texas
0,Bismack Biyombo,C,6-8,255,1992-08-28,CD,R,
4,Derrick Brown,SF,6-7,225,1987-09-08,US,2,Xavier
33,Matt Carroll,SG,6-6,212,1980-08-28,US,8,Notre Dame
32,Boris Diaw,PF,6-8,250,1982-04-16,FR,8,
7,DeSagana Diop,C,7-0,300,1982-01-30,SN,10,
15,Gerald Henderson,SG,6-5,215,1987-12-09,US,2,Duke
11,Cory Higgins,PG,6-5,180,1989-06-14,US,R,Colorado
50,Corey Maggette,SF,6-6,218,1979-11-12,US,12,Duke
9,Jamario Moon,SF,6-8,205,1980-06-13,US,4,Meridian Community College
22,Byron Mullens,C,7-0,275,1989-02-14,US,2,Ohio State
21,Eduardo Nájera,PF,6-8,240,1976-07-11,MX,11,Oklahoma
12,Tyrus Thomas,PF,6-9,215,1986-08-17,US,5,LSU
1,Kemba Walker,PG,6-0,184,1990-05-08,US,R,UConn
8,D.J. White,PF,6-9,251,1986-08-31,US,3,Indiana
55,Reggie Williams,SF,6-6,205,1986-09-14,US,2,Virginia Military Institute
