Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,23,2020,PHI,Philadelphia 76Ers,Nazr Mohammed,"September 5, 1977",21.0,NBA,C,3.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,20,2020,NYK,New York Knicks,Nazr Mohammed,"September 5, 1977",26.0,NBA,C,4.0,4.0,97.0,5.6,11.1,0.5,0.0,0.0,,5.6,11.1,0.5,4.1,5.9,0.69,3.7,4.8,8.5,0.4,2.2,1.1,2.6,6.7,15.2
2005,27,2020,SAS,San Antonio Spurs,Nazr Mohammed,"September 5, 1977",27.0,NBA,C,23.0,23.0,528.0,4.5,8.5,0.53,0.1,0.1,1.0,4.4,8.5,0.52,2.0,3.2,0.64,5.1,5.4,10.5,0.5,1.0,1.6,1.6,4.4,11.1
2006,27,2020,SAS,San Antonio Spurs,Nazr Mohammed,"September 5, 1977",28.0,NBA,C,8.0,3.0,94.0,4.2,5.7,0.73,0.4,0.4,1.0,3.8,5.4,0.71,5.0,6.9,0.72,5.7,6.1,11.9,0.4,1.1,2.3,3.1,6.5,13.8
2007,9,2020,DET,Detroit Pistons,Nazr Mohammed,"September 5, 1977",29.0,NBA,C,2.0,0.0,6.0,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,18.0,18.0,1.0,6.0,12.0,18.0,0.0,0.0,0.0,0.0,6.0,30.0
2010,4,2020,CHA,Charlotte Bobcats,Nazr Mohammed,"September 5, 1977",32.0,NBA,C,4.0,0.0,48.0,8.2,14.2,0.58,0.0,0.0,,8.2,14.2,0.58,1.5,2.3,0.67,3.7,2.3,6.0,1.5,0.7,1.5,0.7,9.7,18.0
2011,21,2020,OKC,Oklahoma City Thunder,Nazr Mohammed,"September 5, 1977",33.0,NBA,C,14.0,0.0,148.0,3.4,8.3,0.41,0.0,0.0,,3.4,8.3,0.41,1.0,2.4,0.4,2.2,5.6,7.8,0.0,1.0,1.5,1.5,6.6,7.8
2012,21,2020,OKC,Oklahoma City Thunder,Nazr Mohammed,"September 5, 1977",34.0,NBA,C,8.0,0.0,83.0,3.5,6.9,0.5,0.0,0.0,,3.5,6.9,0.5,0.9,1.7,0.5,3.0,3.9,6.9,0.4,0.0,1.3,0.9,8.2,7.8
2013,5,2020,CHI,Chicago Bulls,Nazr Mohammed,"September 5, 1977",35.0,NBA,C,12.0,0.0,114.0,6.6,12.9,0.51,0.0,0.0,,6.6,12.9,0.51,1.3,2.2,0.57,4.4,5.7,10.1,1.3,0.6,2.2,0.9,4.7,14.5
2014,5,2020,CHI,Chicago Bulls,Nazr Mohammed,"September 5, 1977",36.0,NBA,C,2.0,0.0,5.0,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,0.0,0.0,0.0,,7.2,7.2,14.4,0.0,0.0,0.0,0.0,21.6,0.0
2015,5,2020,CHI,Chicago Bulls,Nazr Mohammed,"September 5, 1977",37.0,NBA,C,3.0,0.0,14.0,5.1,18.0,0.29,0.0,2.6,0.0,5.1,15.4,0.33,0.0,0.0,,7.7,5.1,12.9,0.0,0.0,2.6,0.0,0.0,10.3
2016,21,2020,OKC,Oklahoma City Thunder,Nazr Mohammed,"September 5, 1977",38.0,NBA,C,5.0,0.0,10.0,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,10.8,0.0,0.0,3.6,3.6,3.6,7.2
