Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1995,20,3165,NYK,New York Knicks,23.0,NBA,SF,41.0,23.0,503.0,6.3,13.9,0.45,0.0,0.8,0.0,6.3,13.1,0.48,1.8,4.0,0.45,4.4,5.9,10.3,5.1,2.1,0.4,4.3,9.1,14.3,,91.0,104.0
1996,31,3165,TOT,Total After Trade,24.0,NBA,SF,31.0,0.0,184.0,7.6,19.2,0.4,0.0,0.3,0.0,7.6,18.9,0.4,3.9,5.6,0.7,5.6,5.6,11.3,2.3,1.7,0.6,5.1,7.3,19.2,,87.0,105.0
1996,20,3165,NYK,New York Knicks,24.0,NBA,SF,14.0,0.0,62.0,6.0,18.7,0.32,0.0,0.0,,6.0,18.7,0.32,4.3,6.8,0.62,7.7,6.8,14.5,3.4,1.7,0.0,4.3,7.7,16.2,,86.0,104.0
1996,27,3165,SAS,San Antonio Spurs,24.0,NBA,SF,17.0,0.0,122.0,8.4,19.4,0.44,0.0,0.4,0.0,8.4,19.0,0.44,3.8,5.1,0.75,4.6,5.1,9.7,1.7,1.7,0.8,5.5,7.2,20.7,,87.0,105.0
1997,27,3165,SAS,San Antonio Spurs,25.0,NBA,SF,65.0,26.0,1345.0,9.6,18.8,0.51,0.0,0.0,0.0,9.6,18.8,0.51,4.9,7.6,0.64,4.0,4.4,8.4,3.7,2.2,2.1,4.7,6.6,24.0,,101.0,112.0
1998,27,3165,SAS,San Antonio Spurs,26.0,NBA,SF,72.0,16.0,1314.0,6.8,15.2,0.45,0.0,0.1,0.5,6.8,15.1,0.45,5.0,7.5,0.67,2.8,4.6,7.4,3.7,1.4,1.0,3.4,5.5,18.7,,100.0,102.0
1999,8,3165,DEN,Denver Nuggets,27.0,NBA,SF,1.0,0.0,6.0,0.0,17.7,0.0,0.0,0.0,,0.0,17.7,0.0,8.8,17.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,,44.0,120.0
2001,22,3165,ORL,Orlando Magic,29.0,NBA,SF,82.0,0.0,1211.0,6.9,15.5,0.44,0.0,0.6,0.08,6.9,14.9,0.46,3.6,5.7,0.64,3.7,6.7,10.3,3.4,1.2,0.7,3.6,5.8,17.4,,96.0,103.0
2002,22,3165,ORL,Orlando Magic,30.0,NBA,SF,68.0,19.0,1284.0,7.9,14.5,0.55,0.0,0.2,0.0,7.9,14.4,0.55,3.5,5.4,0.66,3.2,6.2,9.4,3.9,2.0,0.7,3.4,5.4,19.4,,108.0,105.0
2003,23,3165,PHI,Philadelphia 76Ers,31.0,NBA,SF,21.0,2.0,276.0,6.5,15.2,0.42,0.0,0.4,0.0,6.5,14.8,0.44,4.6,6.1,0.75,2.3,6.3,8.6,4.9,2.3,1.0,3.2,6.3,17.5,,99.0,102.0
