NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
3,Craig Ehlo,SG,6-6,180,1961-08-11,US,2,Washington State
20,Steve Harris,SG,6-5,195,1963-10-15,US,R,Tulsa
30,Allen Leavell,PG,6-1,170,1957-05-27,US,6,Oklahoma City University
32,Lewis Lloyd,SG,6-6,205,1959-02-22,US,4,Drake University
5,John Lucas,PG,6-3,175,1953-10-31,US,9,Maryland
22,Rodney McCray,SF,6-7,220,1961-08-29,US,2,Louisville
8,Hank McDowell,PF,6-9,215,1959-11-13,US,4,Memphis
34,Hakeem Olajuwon,C,7-0,255,1963-01-21,NG,1,Houston
43,Jim Petersen,PF,6-10,235,1962-02-22,US,1,Minnesota
33,Robert Reid,SF,6-8,205,1955-08-30,US,7,St. Mary's University
50,Ralph Sampson,PF,7-4,228,1960-07-07,US,2,Virginia
31,Granville Waiters,C,6-11,225,1961-01-08,US,2,Ohio State
15,Mitchell Wiggins,SG,6-4,185,1959-09-28,US,2,"Clemson, Florida State"
