Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2002,9,3093,DET,Detroit Pistons,21.0,NBA,SF,16.0,0.0,129.0,8.7,24.8,0.35,0.8,3.7,0.22,7.9,21.1,0.37,5.0,5.8,0.86,0.8,6.6,7.4,5.0,3.7,0.8,5.8,2.5,23.1,,80.0,99.0
2003,8,3093,DEN,Denver Nuggets,22.0,NBA,SG,72.0,19.0,1563.0,8.8,21.5,0.41,1.1,4.5,0.24,7.7,17.0,0.45,3.3,4.2,0.78,1.5,5.7,7.2,4.1,1.5,1.1,5.3,4.5,21.9,,86.0,103.0
2004,8,3093,DEN,Denver Nuggets,23.0,NBA,SF,72.0,0.0,985.0,11.2,24.4,0.46,1.7,4.5,0.38,9.5,19.9,0.48,4.1,5.4,0.75,2.3,6.3,8.6,3.1,1.7,1.0,4.1,5.5,28.2,,100.0,104.0
2005,31,3093,TOT,Total After Trade,24.0,NBA,SF,58.0,2.0,677.0,9.2,21.9,0.42,1.8,4.6,0.4,7.4,17.4,0.42,2.0,3.3,0.61,1.8,4.9,6.8,3.3,2.4,0.8,2.8,4.9,22.2,,95.0,105.0
2005,8,3093,DEN,Denver Nuggets,24.0,NBA,SF,42.0,2.0,531.0,9.5,21.9,0.43,1.8,4.3,0.43,7.6,17.7,0.43,2.0,3.3,0.62,1.9,5.2,7.2,3.5,2.9,1.0,2.6,4.9,22.8,,98.0,103.0
2005,10,3093,GSW,Golden State Warriors,24.0,NBA,SF,16.0,0.0,146.0,8.1,21.9,0.37,1.8,5.6,0.31,6.3,16.2,0.39,2.1,3.5,0.6,1.4,3.9,5.3,2.8,0.7,0.4,3.5,4.6,20.1,,84.0,112.0
