Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,5,CHI,Charlotte Bobcats,Artis Gilmore,31,6,,247,5.1,8.7,0.58,0.0,0.0,,5.1,8.7,0.58,5.5,8.0,0.69,3.5,6.3,9.8,1.7,0.9,2.5,2.5,2.2,15.7
1981,5,CHI,Charlotte Bobcats,Reggie Theus,23,6,,232,6.2,14.0,0.44,0.3,1.4,0.22,5.9,12.6,0.47,5.7,6.7,0.86,1.1,2.2,3.3,5.9,1.4,0.0,2.3,3.4,18.5
1981,5,CHI,Charlotte Bobcats,Dwight Jones,28,6,,217,4.8,10.1,0.48,0.0,0.0,,4.8,10.1,0.48,2.8,2.8,1.0,3.0,6.8,9.8,1.8,0.8,0.5,2.7,3.5,12.4
1981,5,CHI,Charlotte Bobcats,Dave Greenwood,23,6,,212,8.7,14.8,0.59,0.0,0.3,0.0,8.7,14.4,0.6,0.8,2.0,0.42,2.7,4.8,7.5,1.9,1.5,0.8,1.5,4.4,18.2
1981,5,CHI,Charlotte Bobcats,Ricky Sobers,28,6,,162,7.8,18.0,0.43,0.2,1.3,0.17,7.6,16.7,0.45,1.8,2.0,0.89,0.7,1.8,2.4,4.9,0.9,0.0,3.3,5.8,17.6
1981,5,CHI,Charlotte Bobcats,Bob Wilkerson,26,6,,152,5.9,14.0,0.42,0.0,0.2,0.0,5.9,13.7,0.43,1.2,1.2,1.0,1.4,2.4,3.8,3.3,1.2,0.2,2.6,3.1,13.0
1981,5,CHI,Charlotte Bobcats,Larry Kenon,28,6,,114,5.7,14.5,0.39,0.0,0.3,0.0,5.7,14.2,0.4,1.3,2.5,0.5,5.4,3.2,8.5,2.5,1.3,0.3,0.3,1.3,12.6
1981,5,CHI,Charlotte Bobcats,Coby Dietrick,32,6,,81,3.6,11.6,0.31,0.0,1.3,0.0,3.6,10.2,0.35,1.3,1.8,0.75,1.3,5.3,6.7,1.8,0.9,1.3,0.9,8.4,8.4
1981,5,CHI,Charlotte Bobcats,Ronnie Lester,22,5,,42,6.0,15.4,0.39,0.0,0.9,0.0,6.0,14.6,0.41,4.3,6.0,0.71,4.3,0.9,5.1,3.4,1.7,0.0,4.3,3.4,16.3
1981,5,CHI,Charlotte Bobcats,James Wilkes,22,2,,5,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,7.2,7.2,7.2,0.0,14.4,0.0,0.0
1981,5,CHI,Charlotte Bobcats,Sam Worthen,23,1,,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
