Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,23.0,DAL,NBA,PG,4.0,0.0,12.0,9.0,24.0,0.375,0.0,6.0,0.0,9.0,18.0,0.5,0.0,0.0,,3.0,3.0,6.0,6.0,0.0,0.0,3.0,0.0,18.0
1989,24.0,GSW,NBA,PG,6.0,0.0,52.0,6.2,15.2,0.409,2.8,6.2,0.444,3.5,9.0,0.385,2.1,2.8,0.75,1.4,1.4,2.8,3.5,1.4,0.0,0.7,4.8,17.3
1990,25.0,DAL,NBA,PG,3.0,0.0,42.0,6.9,15.4,0.444,1.7,5.1,0.333,5.1,10.3,0.5,4.3,4.3,1.0,0.9,1.7,2.6,6.9,0.9,0.0,2.6,3.4,19.7
