PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Darwin Cook,23,2,,43.0,6.5,16.5,0.39399999999999996,0.0,1.5,0.0,6.5,15.0,0.433,0.39399999999999996,1.0,3.0,0.33299999999999996,0.0,1.5,1.5,4.5,1.0,1.0,4.5,3.5,14.0
Buck Williams,21,2,,39.5,7.0,13.0,0.5379999999999999,0.0,0.0,,7.0,13.0,0.5379999999999999,0.5379999999999999,3.5,7.5,0.467,5.5,5.0,10.5,1.5,0.5,1.0,2.0,3.5,17.5
Ray Williams,27,2,,38.5,7.0,23.5,0.298,1.0,2.5,0.4,6.0,21.0,0.28600000000000003,0.319,2.0,2.5,0.8,4.0,2.0,6.0,7.0,2.0,0.0,3.0,5.0,17.0
Len Elmore,29,2,,38.0,4.5,8.0,0.563,0.0,0.0,,4.5,8.0,0.563,0.563,2.0,2.0,1.0,0.5,7.5,8.0,1.0,0.5,1.0,1.0,2.0,11.0
Albert King,22,2,,29.0,9.0,16.5,0.545,0.0,0.0,,9.0,16.5,0.545,0.545,2.0,2.5,0.8,1.5,2.5,4.0,3.0,2.5,0.5,2.5,4.0,20.0
Mike O'Koren,23,2,,22.0,1.5,5.5,0.273,0.0,0.5,0.0,1.5,5.0,0.3,0.273,0.5,1.0,0.5,0.0,4.0,4.0,1.5,0.5,0.0,1.0,4.0,3.5
James Bailey,24,2,,13.0,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,1.0,1.0,1.0,1.0,2.0,3.0,0.5,1.0,0.5,1.5,2.5,2.0
Mike Gminski,22,1,,10.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0
Jan van Breda Kolff,30,2,,8.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.5,1.5,0.0,1.0,0.5,0.5,0.0,0.0
Ed Sherod,22,2,,4.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0
