Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1980,17,MIL,Milwaukee Bucks,49,33,0.6,—,110.1,106.1,3.57
1980,26,KCK,Kansas City Kings,47,35,0.57,2.0,108.0,104.9,2.82
1980,8,DEN,Denver Nuggets,30,52,0.37,19.0,108.3,112.7,-4.22
1980,5,CHI,Chicago Bulls,30,52,0.37,19.0,107.5,110.2,-2.63
1980,29,UTA,Utah Jazz,24,58,0.29,25.0,102.4,108.4,-5.71
1980,14,LAL,Los Angeles Lakers,60,22,0.73,—,115.1,109.2,5.4
1980,21,SEA,Seattle Supersonics,56,26,0.68,4.0,108.5,103.8,4.24
1980,24,PHO,Phoenix Suns,55,27,0.67,5.0,111.1,107.5,3.25
1980,25,POR,Portland Trail Blazers,38,44,0.46,22.0,102.5,103.3,-0.87
1980,13,SDC,San Diego Clippers,35,47,0.43,25.0,107.6,111.7,-3.97
1980,10,GSW,Golden State Warriors,24,58,0.29,36.0,103.6,108.0,-4.2
