Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1997,29,UTA,Utah Jazz,64,18,0.78,—,103.1,94.3,7.97
1997,11,HOU,Houston Rockets,57,25,0.7,7.0,100.6,96.1,3.85
1997,18,MIN,Minnesota Timberwolves,40,42,0.49,24.0,96.1,97.6,-1.82
1997,7,DAL,Dallas Mavericks,24,58,0.29,40.0,90.6,97.0,-6.47
1997,8,DEN,Denver Nuggets,21,61,0.26,43.0,97.8,104.1,-6.4
1997,27,SAS,San Antonio Spurs,20,62,0.24,44.0,90.5,98.3,-7.93
1997,15,VAN,Vancouver Grizzlies,14,68,0.17,50.0,89.2,99.4,-10.17
1997,21,SEA,Seattle Supersonics,57,25,0.7,—,100.9,93.2,6.91
1997,14,LAL,Los Angeles Lakers,56,26,0.68,1.0,100.0,95.7,3.66
1997,25,POR,Portland Trail Blazers,49,33,0.6,8.0,99.0,94.8,3.56
1997,24,PHO,Phoenix Suns,40,42,0.49,17.0,102.8,102.2,0.21
1997,13,LAC,Los Angeles Clippers,36,46,0.44,21.0,97.2,99.5,-2.66
1997,26,SAC,Sacramento Kings,34,48,0.42,23.0,96.4,99.8,-3.64
1997,10,GSW,Golden State Warriors,30,52,0.37,27.0,99.6,104.4,-4.9
