Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2013,21,OKC,Oklahoma City Thunder,60,22,0.73,—,105.7,96.5,9.15
2013,8,DEN,Denver Nuggets,57,25,0.7,3.0,106.1,101.1,5.37
2013,29,UTA,Utah Jazz,43,39,0.52,17.0,98.0,98.1,0.3
2013,25,POR,Portland Trail Blazers,33,49,0.4,27.0,97.5,100.7,-2.53
2013,18,MIN,Minnesota Timberwolves,31,51,0.38,29.0,95.7,98.1,-1.83
2013,13,LAC,Los Angeles Clippers,56,26,0.68,—,101.1,94.6,6.43
2013,10,GSW,Golden State Warriors,47,35,0.57,9.0,101.2,100.3,1.32
2013,14,LAL,Los Angeles Lakers,45,37,0.55,11.0,102.2,101.0,1.48
2013,26,SAC,Sacramento Kings,28,54,0.34,28.0,100.2,105.1,-4.26
2013,24,PHO,Phoenix Suns,25,57,0.3,31.0,95.2,101.6,-5.75
2013,27,SAS,San Antonio Spurs,58,24,0.71,—,103.0,96.6,6.67
2013,15,MEM,Memphis Grizzlies,56,26,0.68,2.0,93.4,89.3,4.32
2013,11,HOU,Houston Rockets,45,37,0.55,13.0,106.0,102.5,3.69
2013,7,DAL,Dallas Mavericks,41,41,0.5,17.0,101.1,101.7,-0.24
2013,19,NOH,New Orleans Hornets,27,55,0.33,31.0,94.1,97.9,-3.12
