Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2014,21,OKC,Oklahoma City Thunder,59,23,0.72,—,106.2,99.8,6.66
2014,25,POR,Portland Trail Blazers,54,28,0.66,5.0,106.7,102.8,4.44
2014,18,MIN,Minnesota Timberwolves,40,42,0.49,19.0,106.9,104.3,3.1
2014,8,DEN,Denver Nuggets,36,46,0.44,23.0,104.4,106.5,-1.4
2014,29,UTA,Utah Jazz,25,57,0.3,34.0,95.0,102.2,-6.27
2014,13,LAC,Los Angeles Clippers,57,25,0.7,—,107.9,101.0,7.27
2014,10,GSW,Golden State Warriors,51,31,0.62,6.0,104.3,99.5,5.15
2014,24,PHO,Phoenix Suns,48,34,0.58,9.0,105.2,102.6,3.02
2014,26,SAC,Sacramento Kings,28,54,0.34,29.0,100.5,103.4,-2.08
2014,14,LAL,Los Angeles Lakers,27,55,0.33,30.0,103.0,109.2,-5.33
2014,27,SAS,San Antonio Spurs,62,20,0.76,—,105.4,97.6,8.0
2014,11,HOU,Houston Rockets,54,28,0.66,8.0,107.7,103.1,5.06
2014,15,MEM,Memphis Grizzlies,50,32,0.61,12.0,96.1,94.6,2.18
2014,7,DAL,Dallas Mavericks,49,33,0.6,13.0,104.8,102.4,2.91
2014,19,NOP,New Orleans Pelicans,34,48,0.42,28.0,99.7,102.4,-1.98
