Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1991,27,SAS,San Antonio Spurs,55,27,.671,—,107.1,102.6,4.30
1991,29,UTA,Utah Jazz,54,28,.659,1.0,104.0,100.7,3.18
1991,11,HOU,Houston Rockets,52,30,.634,3.0,106.7,103.2,3.27
1991,22,ORL,Orlando Magic,31,51,.378,24.0,105.9,109.9,-3.79
1991,18,MIN,Minnesota Timberwolves,29,53,.354,26.0,99.6,103.5,-3.75
1991,7,DAL,Dallas Mavericks,28,54,.341,27.0,99.9,104.5,-4.27
1991,8,DEN,Denver Nuggets,20,62,.244,35.0,119.9,130.8,-10.31
1991,25,POR,Portland Trail Blazers,63,19,.768,—,114.7,106.0,8.47
1991,14,LAL,Los Angeles Lakers,58,24,.707,5.0,106.3,99.6,6.73
1991,24,PHO,Phoenix Suns,55,27,.671,8.0,114.0,107.5,6.49
1991,10,GSW,Golden State Warriors,44,38,.537,19.0,116.6,115.0,1.72
1991,21,SEA,Seattle Supersonics,41,41,.500,22.0,106.6,105.4,1.31
1991,13,LAC,Los Angeles Clippers,31,51,.378,32.0,103.5,107.0,-3.16
1991,26,SAC,Sacramento Kings,25,57,.305,38.0,96.7,103.5,-6.27
