Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1984,29,UTA,Utah Jazz,45,37,0.55,—,115.0,113.8,0.81
1984,7,DAL,Dallas Mavericks,43,39,0.52,2.0,110.4,110.0,0.15
1984,8,DEN,Denver Nuggets,38,44,0.46,7.0,123.7,124.8,-1.27
1984,26,KCK,Kansas City Kings,38,44,0.46,7.0,110.0,111.5,-1.62
1984,27,SAS,San Antonio Spurs,37,45,0.45,8.0,120.3,120.5,-0.5
1984,11,HOU,Houston Rockets,29,53,0.35,16.0,110.6,113.7,-3.12
1984,14,LAL,Los Angeles Lakers,54,28,0.66,—,115.6,111.8,3.32
1984,25,POR,Portland Trail Blazers,48,34,0.58,6.0,113.1,109.6,3.13
1984,21,SEA,Seattle Supersonics,42,40,0.51,12.0,108.1,108.3,-0.34
1984,24,PHO,Phoenix Suns,41,41,0.5,13.0,111.0,110.1,0.65
1984,10,GSW,Golden State Warriors,37,45,0.45,17.0,109.9,113.3,-3.35
1984,13,SDC,San Diego Clippers,30,52,0.37,24.0,110.7,114.0,-3.21
