Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1981,27,SAS,San Antonio Spurs,52,30,0.63,—,112.3,109.4,2.18
1981,26,KCK,Kansas City Kings,40,42,0.49,12.0,106.9,106.9,-0.49
1981,11,HOU,Houston Rockets,40,42,0.49,12.0,108.3,107.9,-0.2
1981,8,DEN,Denver Nuggets,37,45,0.45,15.0,121.8,122.3,-0.95
1981,29,UTA,Utah Jazz,28,54,0.34,24.0,101.2,107.1,-5.99
1981,7,DAL,Dallas Mavericks,15,67,0.18,37.0,101.5,109.9,-8.33
1981,24,PHO,Phoenix Suns,57,25,0.7,—,110.0,104.5,4.83
1981,14,LAL,Los Angeles Lakers,54,28,0.66,3.0,111.2,107.3,3.27
1981,25,POR,Portland Trail Blazers,45,37,0.55,12.0,110.7,109.8,0.52
1981,10,GSW,Golden State Warriors,39,43,0.48,18.0,109.8,111.0,-1.41
1981,13,SDC,San Diego Clippers,36,46,0.44,21.0,106.5,108.1,-1.78
1981,21,SEA,Seattle Supersonics,34,48,0.42,23.0,104.0,105.7,-1.84
