Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1986,11,HOU,Houston Rockets,51,31,0.62,—,114.4,111.8,2.1
1986,8,DEN,Denver Nuggets,47,35,0.57,4.0,114.8,113.5,0.89
1986,7,DAL,Dallas Mavericks,44,38,0.54,7.0,115.3,114.2,0.7
1986,29,UTA,Utah Jazz,42,40,0.51,9.0,108.2,108.5,-0.67
1986,26,SAC,Sacramento Kings,37,45,0.45,14.0,108.8,111.9,-3.19
1986,27,SAS,San Antonio Spurs,35,47,0.43,16.0,111.2,113.1,-2.06
1986,14,LAL,Los Angeles Lakers,62,20,0.76,—,117.3,109.5,6.84
1986,25,POR,Portland Trail Blazers,40,42,0.49,22.0,115.1,114.0,0.61
1986,24,PHO,Phoenix Suns,32,50,0.39,30.0,110.0,113.0,-3.16
1986,13,LAC,Los Angeles Clippers,32,50,0.39,30.0,108.6,115.5,-6.83
1986,21,SEA,Seattle Supersonics,31,51,0.38,31.0,104.4,104.5,-0.47
1986,10,GSW,Golden State Warriors,30,52,0.37,32.0,113.4,116.9,-3.59
