Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,ORB%,DRB%,Arena,Attend.,Attend./G
1982,2,BOS,Boston Celtics,27.3,63.0,19.0,57,25,6.38,-0.03,6.35,109.8,103.5,6.3,101.5,0.34,0.02,0.55,35.8,67.6,Boston Garden,612711,
1982,23,PHI,Philadelphia 76Ers,28.1,58.0,24.0,56,26,5.73,0.0,5.74,109.6,103.9,5.7,100.6,0.35,0.02,0.57,30.5,65.0,The Spectrum,498901,
1982,17,MIL,Milwaukee Bucks,27.3,55.0,27.0,55,27,5.48,-0.1,5.38,107.7,102.3,5.4,100.0,0.33,0.02,0.55,35.1,67.3,MECCA Arena,443288,
1982,14,LAL,Los Angeles Lakers,26.8,57.0,25.0,53,29,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.28,0.01,0.55,35.8,66.3,The Forum,605236,
1982,21,SEA,Seattle Supersonics,26.4,52.0,30.0,52,30,4.13,-0.45,3.69,106.4,102.3,4.1,100.0,0.33,0.02,0.54,31.3,67.2,King County Domed Stadium,721049,
1982,24,PHO,Phoenix Suns,26.4,46.0,36.0,50,32,3.45,-0.4,3.05,105.8,102.4,3.4,99.5,0.3,0.02,0.54,32.2,68.5,Arizona Veterans Memorial Coliseum,486855,
1982,27,SAS,San Antonio Spurs,26.1,48.0,34.0,47,35,2.3,-0.52,1.79,109.9,107.6,2.3,102.5,0.31,0.03,0.54,34.0,68.8,HemisFair Arena,434278,
1982,30,WSB,Washington Bullets,26.0,43.0,39.0,43,39,0.88,0.19,1.06,103.3,102.5,0.8,99.4,0.29,0.03,0.52,29.4,69.9,Capital Centre,379891,
1982,3,NJN,New Jersey Nets,25.1,44.0,38.0,43,39,0.68,0.18,0.87,103.0,102.3,0.7,103.1,0.33,0.02,0.53,33.7,67.0,Brendan Byrne Arena,560734,13526.0
1982,1,ATL,Atlanta Hawks,26.5,42.0,40.0,43,39,0.54,0.27,0.81,105.1,104.6,0.5,95.1,0.35,0.02,0.53,32.2,67.6,Omni Coliseum,314593,
1982,10,GSW,Golden State Warriors,25.1,45.0,37.0,44,38,1.04,-0.24,0.8,108.8,107.7,1.1,101.4,0.32,0.04,0.54,34.8,68.8,Oakland-Alameda County Coliseum Arena,391726,
1982,25,POR,Portland Trail Blazers,24.7,42.0,40.0,43,39,0.6,-0.21,0.39,108.8,108.2,0.6,100.5,0.33,0.02,0.55,32.5,65.9,Memorial Coliseum,519306,
1982,8,DEN,Denver Nuggets,27.0,46.0,36.0,42,40,0.52,-0.4,0.13,114.3,113.9,0.4,109.8,0.39,0.02,0.58,31.8,64.3,McNichols Sports Arena,456857,
1982,11,HOU,Houston Rockets,28.3,46.0,36.0,41,41,-0.04,-0.36,-0.39,108.3,108.3,0.0,97.2,0.3,0.02,0.52,37.8,66.1,The Summit,480190,
1982,9,DET,Detroit Pistons,24.4,39.0,43.0,39,43,-0.91,0.28,-0.63,105.8,106.6,-0.8,104.3,0.35,0.03,0.53,34.8,66.9,Pontiac Silverdome,391205,
1982,12,IND,Indiana Pacers,27.0,35.0,47.0,36,46,-1.87,0.38,-1.49,102.7,104.6,-1.9,98.7,0.3,0.04,0.52,30.5,66.3,Market Square Arena,309633,
1982,5,CHI,Chicago Bulls,26.5,34.0,48.0,36,46,-2.02,0.45,-1.57,106.6,108.6,-2.0,99.0,0.38,0.03,0.56,33.6,69.0,Chicago Stadium,372613,
1982,20,NYK,New York Knicks,28.0,33.0,49.0,34,48,-2.67,0.52,-2.15,106.0,108.6,-2.6,99.5,0.3,0.03,0.54,33.1,66.9,Madison Square Garden (IV),451140,
1982,26,KCK,Kansas City Kings,24.0,30.0,52.0,33,49,-3.1,-0.15,-3.25,104.2,107.2,-3.0,101.8,0.3,0.02,0.53,29.9,66.0,Kemper Arena,305665,
1982,7,DAL,Dallas Mavericks,24.4,28.0,54.0,29,53,-4.43,-0.06,-4.48,105.9,110.4,-4.5,98.5,0.33,0.03,0.52,33.9,66.8,Reunion Arena,380484,
1982,29,UTA,Utah Jazz,24.9,25.0,57.0,27,55,-5.66,0.03,-5.63,106.2,111.7,-5.5,103.9,0.31,0.01,0.54,30.6,65.3,Salt Palace,311779,
1982,13,SDC,San Diego Clippers,25.4,17.0,65.0,23,59,-7.39,0.34,-7.05,106.6,113.8,-7.2,101.4,0.33,0.05,0.55,33.2,68.0,San Diego Sports Arena,225036,
1982,6,CLE,Cleveland Cavaliers,26.1,15.0,67.0,20,62,-8.51,0.74,-7.77,103.3,111.8,-8.5,99.3,0.3,0.02,0.51,32.0,65.9,Coliseum at Richfield,232421,
