Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,ORB%,DRB%,Arena,Attend.,Attend./G
2007,27,SAS,San Antonio Spurs,30.4,58.0,24.0,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.31,0.25,0.56,24.2,75.7,AT&T Center,764823,18654
2007,7,DAL,Dallas Mavericks,28.1,67.0,15.0,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.32,0.22,0.56,28.7,75.0,American Airlines Center,834411,20351
2007,24,PHO,Phoenix Suns,27.6,61.0,21.0,59,23,7.3,-0.03,7.28,113.9,106.4,7.5,95.6,0.27,0.29,0.59,22.7,71.9,US Airways Center,755302,18422
2007,11,HOU,Houston Rockets,28.2,52.0,30.0,55,27,4.85,0.19,5.04,106.0,100.7,5.3,90.7,0.29,0.29,0.54,25.7,77.0,Toyota Center,678362,16545
2007,5,CHI,Chicago Bulls,26.0,49.0,33.0,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.31,0.19,0.53,28.6,74.3,United Center,912364,22253
2007,9,DET,Detroit Pistons,29.0,53.0,29.0,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,0.31,0.2,0.54,28.3,70.9,The Palace of Auburn Hills,905116,22076
2007,6,CLE,Cleveland Cavaliers,26.9,50.0,32.0,52,30,3.83,-0.5,3.33,105.5,101.3,4.2,90.8,0.32,0.21,0.52,29.7,75.8,Quicken Loans Arena,837883,20436
2007,29,UTA,Utah Jazz,25.9,51.0,31.0,49,33,2.87,0.2,3.06,110.1,107.0,3.1,91.6,0.38,0.16,0.55,31.7,75.1,EnergySolutions Arena,802214,19566
2007,8,DEN,Denver Nuggets,26.5,45.0,37.0,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,0.36,0.21,0.55,28.9,71.8,Pepsi Center,706437,17230
2007,28,TOR,Toronto Raptors,26.0,47.0,35.0,44,38,0.99,-0.38,0.61,107.0,106.0,1.0,92.6,0.3,0.22,0.55,22.2,74.5,Air Canada Centre,748603,18259
2007,22,ORL,Orlando Magic,25.6,40.0,42.0,43,39,0.78,-0.43,0.35,104.9,104.1,0.8,89.9,0.39,0.16,0.54,29.3,73.7,Amway Arena,700887,17095
2007,14,LAL,Los Angeles Lakers,25.3,42.0,40.0,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,0.33,0.26,0.55,26.1,72.3,STAPLES Center,778415,18986
2007,10,GSW,Golden State Warriors,24.6,42.0,40.0,40,42,-0.34,0.34,0.0,107.0,107.4,-0.4,99.2,0.3,0.28,0.55,25.6,69.6,Oracle Arena,742267,18104
2007,13,LAC,Los Angeles Clippers,27.5,40.0,42.0,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.36,0.14,0.54,27.2,74.7,STAPLES Center,755261,18421
2007,30,WAS,Washington Wizards,26.8,41.0,41.0,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.36,0.24,0.54,28.1,71.0,Verizon Center,753283,18373
2007,3,NJN,New Jersey Nets,28.2,41.0,41.0,39,43,-0.77,-0.23,-1.0,105.7,106.6,-0.9,91.4,0.34,0.26,0.55,24.6,74.4,Continental Airlines Arena,693955,16926
2007,19,NOK,New Orleans/Oklahoma City Hornets,26.4,39.0,43.0,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,0.29,0.19,0.52,29.1,74.7,Ford Center,731165,17954
2007,16,MIA,Miami Heat,29.3,44.0,38.0,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,0.32,0.24,0.54,24.9,73.3,AmericanAirlines Arena,808541,19721
2007,26,SAC,Sacramento Kings,27.3,33.0,49.0,36,46,-1.8,0.46,-1.35,106.2,108.0,-1.8,94.8,0.38,0.23,0.55,23.1,72.5,ARCO Arena (II),709997,17317
2007,21,SEA,Seattle Supersonics,25.9,31.0,51.0,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.29,0.22,0.54,27.8,70.9,KeyArena at Seattle Center,654163,15955
2007,12,IND,Indiana Pacers,27.2,35.0,47.0,34,48,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,0.32,0.21,0.52,28.4,72.7,Conseco Fieldhouse,629750,15360
2007,20,NYK,New York Knicks,25.4,33.0,49.0,33,49,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,0.38,0.22,0.54,31.0,74.0,Madison Square Garden (IV),770617,18796
2007,18,MIN,Minnesota Timberwolves,27.7,32.0,50.0,30,52,-3.67,0.51,-3.16,103.9,107.9,-4.0,91.0,0.29,0.17,0.54,25.1,72.1,Target Center,655947,15999
2007,23,PHI,Philadelphia 76Ers,26.2,35.0,47.0,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.33,0.13,0.53,27.2,70.8,Wachovia Center,608603,14844
2007,2,BOS,Boston Celtics,23.5,24.0,58.0,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92.0,0.34,0.2,0.53,27.0,73.8,TD Banknorth Garden,690576,16843
2007,25,POR,Portland Trail Blazers,24.4,32.0,50.0,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.31,0.19,0.53,28.2,73.0,Rose Garden Arena,670778,16360
2007,4,CHA,Charlotte Bobcats,25.5,33.0,49.0,30,52,-3.74,-0.22,-3.97,103.6,107.6,-4.0,92.0,0.32,0.19,0.52,26.4,71.6,Charlotte Bobcats Arena,637520,15549
2007,17,MIL,Milwaukee Bucks,26.0,28.0,54.0,29,53,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,0.29,0.22,0.54,27.6,68.1,Bradley Center,663629,16186
2007,15,MEM,Memphis Grizzlies,26.2,22.0,60.0,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,0.37,0.21,0.56,25.9,71.1,FedEx Forum,600836,14655
2007,1,ATL,Atlanta Hawks,24.1,30.0,52.0,27,55,-4.76,-0.1,-4.86,103.0,108.3,-5.3,90.0,0.35,0.16,0.52,29.2,70.9,Philips Arena,639375,15595
