Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,ORB%,DRB%,Arena,Attend.,Attend./G
1989,6,CLE,Cleveland Cavaliers,26.1,57.0,25.0,60,22,7.6,0.35,7.95,110.6,102.9,7.7,98.0,0.35,0.07,0.56,31.2,67.1,Coliseum at Richfield,721426,
1989,24,PHO,Phoenix Suns,25.7,55.0,27.0,59,23,7.7,-0.86,6.84,113.1,105.7,7.4,104.5,0.34,0.06,0.56,30.8,67.7,Arizona Veterans Memorial Coliseum,447061,
1989,14,LAL,Los Angeles Lakers,29.5,57.0,25.0,58,24,7.17,-0.79,6.38,113.8,106.7,7.1,100.1,0.35,0.09,0.57,33.0,68.9,Great Western Forum,717349,
1989,9,DET,Detroit Pistons,28.7,63.0,19.0,56,26,5.8,0.44,6.24,110.8,104.7,6.1,95.5,0.35,0.06,0.55,34.5,69.2,The Palace of Auburn Hills,879405,
1989,1,ATL,Atlanta Hawks,28.5,52.0,30.0,54,28,4.91,0.35,5.26,112.2,107.2,5.0,98.3,0.38,0.06,0.54,37.1,64.7,Omni Coliseum,644291,
1989,17,MIL,Milwaukee Bucks,28.5,49.0,33.0,50,32,3.61,0.5,4.11,110.1,106.4,3.7,98.6,0.33,0.08,0.54,32.7,67.5,Bradley Center,700984,
1989,29,UTA,Utah Jazz,27.4,51.0,31.0,55,27,5.02,-1.01,4.01,106.6,101.5,5.1,98.0,0.42,0.06,0.55,32.0,68.1,Salt Palace,509501,
1989,20,NYK,New York Knicks,25.3,52.0,30.0,50,32,3.77,-0.15,3.62,111.1,107.5,3.6,104.4,0.31,0.15,0.55,36.2,65.1,Madison Square Garden (IV),746851,
1989,21,SEA,Seattle Supersonics,26.3,47.0,35.0,48,34,2.9,-0.46,2.44,111.5,108.6,2.9,100.1,0.32,0.1,0.54,38.3,65.3,Seattle Center Coliseum,456765,
1989,5,CHI,Chicago Bulls,26.4,47.0,35.0,45,37,1.44,0.69,2.13,109.1,107.7,1.4,97.0,0.3,0.08,0.55,30.7,69.5,Chicago Stadium,736962,
1989,23,PHI,Philadelphia 76Ers,27.0,46.0,36.0,45,37,1.5,0.18,1.68,113.0,111.5,1.5,98.5,0.35,0.09,0.55,32.2,67.2,The Spectrum,531715,
1989,2,BOS,Boston Celtics,28.5,42.0,40.0,44,38,1.16,0.1,1.26,110.8,109.6,1.2,98.1,0.33,0.04,0.55,34.7,70.0,Boston Garden,611537,
1989,25,POR,Portland Trail Blazers,26.9,39.0,43.0,45,37,1.46,-0.55,0.92,109.4,108.0,1.4,103.9,0.31,0.08,0.53,36.7,67.4,Memorial Coliseum,527008,
1989,8,DEN,Denver Nuggets,29.8,44.0,38.0,45,37,1.7,-0.78,0.91,108.6,107.1,1.5,107.5,0.28,0.08,0.53,29.6,68.9,McNichols Sports Arena,527337,
1989,11,HOU,Houston Rockets,26.8,45.0,37.0,44,38,0.95,-0.73,0.22,105.7,104.8,0.9,101.8,0.35,0.07,0.54,33.3,69.0,The Summit,680728,
1989,10,GSW,Golden State Warriors,26.0,43.0,39.0,40,42,-0.3,-0.29,-0.59,107.4,107.7,-0.3,107.3,0.3,0.08,0.53,33.4,64.1,Oakland-Alameda County Coliseum Arena,587820,
1989,30,WSB,Washington Bullets,26.2,40.0,42.0,35,47,-2.16,0.39,-1.77,106.4,108.5,-2.1,100.8,0.3,0.03,0.52,33.1,67.5,Capital Centre,253980,
1989,7,DAL,Dallas Mavericks,28.6,38.0,44.0,38,44,-1.21,-0.59,-1.79,107.4,108.6,-1.2,95.9,0.33,0.1,0.54,29.5,66.1,Reunion Arena,695056,
1989,12,IND,Indiana Pacers,25.2,28.0,54.0,30,52,-4.17,1.17,-3.0,106.8,111.0,-4.2,99.2,0.33,0.09,0.55,31.5,66.0,Market Square Arena,335298,
1989,26,SAC,Sacramento Kings,25.2,27.0,55.0,27,55,-5.55,0.2,-5.35,104.5,110.0,-5.5,100.5,0.29,0.11,0.52,30.5,67.7,ARCO Arena (II),677197,
1989,3,NJN,New Jersey Nets,26.8,26.0,56.0,25,57,-6.35,0.66,-5.69,103.0,109.3,-6.3,100.1,0.31,0.08,0.52,32.7,70.1,Brendan Byrne Arena,378397,
1989,27,SAS,San Antonio Spurs,25.6,21.0,61.0,23,59,-7.28,-0.17,-7.45,100.9,107.9,-7.0,104.1,0.32,0.04,0.51,34.5,63.5,HemisFair Arena,323573,
1989,4,CHO,Charlotte Hornets,27.2,20.0,62.0,21,61,-8.52,0.79,-7.74,103.7,112.1,-8.4,100.3,0.28,0.06,0.51,30.3,64.9,Charlotte Coliseum,949858,
1989,13,LAC,Los Angeles Clippers,24.6,21.0,61.0,18,64,-9.91,0.41,-9.5,100.8,110.2,-9.4,104.4,0.3,0.03,0.52,31.2,64.0,Los Angeles Memorial Sports Arena,286614,
1989,16,MIA,Miami Heat,25.2,15.0,67.0,15,67,-11.23,0.1,-11.13,97.8,109.0,-11.2,99.1,0.3,0.04,0.5,35.6,65.0,Miami Arena,612754,
