Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1991,2,374,BOS,Boston Celtics,22.0,NBA,PG,82.0,1945.0,13.2,0.52,0.06,0.26,2.5,7.4,5.2,22.5,2.1,0.4,16.7,17.7,1.8,1.8,3.5,0.09,-0.9,0.0,-0.9,0.5
1992,2,374,BOS,Boston Celtics,23.0,NBA,PG,31.0,883.0,13.0,0.47,0.06,0.22,2.0,7.6,4.9,25.6,1.9,0.5,13.3,21.6,0.2,0.8,1.0,0.06,-1.4,-0.2,-1.6,0.1
1993,2,374,BOS,Boston Celtics,24.0,NBA,PG,80.0,2254.0,17.2,0.54,0.12,0.34,2.3,10.0,6.2,28.1,3.1,0.9,14.4,18.2,3.6,2.7,6.4,0.14,1.1,1.9,3.0,2.8
1994,2,374,BOS,Boston Celtics,25.0,NBA,SG,77.0,2867.0,16.0,0.53,0.09,0.21,2.5,9.4,5.9,18.2,2.7,1.0,10.1,18.8,4.1,2.3,6.4,0.11,0.4,1.2,1.5,2.5
1995,2,374,BOS,Boston Celtics,26.0,NBA,SG,79.0,2792.0,15.7,0.56,0.34,0.28,2.6,7.8,5.1,16.7,2.0,1.2,11.7,19.3,5.0,1.8,6.8,0.12,1.8,0.3,2.1,2.9
1996,2,374,BOS,Boston Celtics,27.0,NBA,PG,65.0,1591.0,13.7,0.51,0.36,0.26,2.5,7.2,4.8,14.3,2.5,0.5,9.7,20.5,1.4,1.0,2.4,0.07,-0.5,0.0,-0.5,0.6
1997,2,374,BOS,Boston Celtics,28.0,NBA,PG,21.0,522.0,11.3,0.46,0.39,0.13,1.6,9.6,5.3,19.6,3.0,1.0,12.0,16.4,0.1,0.3,0.3,0.03,-1.7,0.7,-1.0,0.1
1998,31,374,TOT,Total After Trade,29.0,NBA,SG,72.0,1719.0,14.2,0.56,0.48,0.13,1.5,9.1,5.1,14.8,2.5,1.0,11.0,16.9,2.6,0.8,3.4,0.1,0.9,-0.5,0.4,1.0
1998,2,374,BOS,Boston Celtics,29.0,NBA,SG,41.0,811.0,11.4,0.52,0.44,0.11,1.3,8.3,4.5,10.4,2.8,0.6,10.7,16.0,0.7,0.7,1.3,0.08,-1.2,0.3,-0.8,0.2
1998,28,374,TOR,Toronto Raptors,29.0,NBA,SG,31.0,908.0,16.8,0.58,0.52,0.14,1.7,9.8,5.6,18.8,2.2,1.3,11.2,17.7,2.0,0.1,2.1,0.11,2.7,-1.2,1.6,0.8
1999,28,374,TOR,Toronto Raptors,30.0,NBA,PG,49.0,1377.0,13.9,0.53,0.7,0.11,1.2,7.5,4.3,18.8,2.2,0.4,13.4,19.7,1.8,0.6,2.5,0.09,2.0,-1.3,0.7,1.0
2001,22,374,ORL,Orlando Magic,32.0,NBA,PG,7.0,155.0,9.0,0.52,0.73,0.11,0.0,8.1,3.9,11.9,1.3,0.0,13.2,15.2,0.1,0.1,0.2,0.06,-1.4,-1.0,-2.4,0.0
2002,22,374,ORL,Orlando Magic,33.0,NBA,PG,7.0,65.0,-3.2,0.18,0.6,0.0,0.0,15.6,7.7,4.2,2.4,1.1,16.7,16.5,-0.4,0.1,-0.3,-0.21,-10.7,-2.5,-13.2,-0.2
