Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,6,1194,CLE,Cleveland Cavaliers,Ron Harper,1964-01-20,24.0,NBA,SG,4.0,4.0,33.5,7.5,15.8,0.48,0.0,0.5,0.0,7.5,15.3,0.49,0.48,2.8,4.0,0.69,1.0,4.0,5.0,3.8,2.8,1.0,2.8,2.3,17.8
1989,6,1194,CLE,Cleveland Cavaliers,Ron Harper,1964-01-20,25.0,NBA,SG,5.0,5.0,37.8,7.8,13.8,0.56,0.0,0.4,0.0,7.8,13.4,0.58,0.56,4.0,5.2,0.77,1.4,2.8,4.2,4.0,2.2,0.8,1.4,4.0,19.6
1992,13,1194,LAC,Los Angeles Clippers,Ron Harper,1964-01-20,28.0,NBA,SG,5.0,5.0,41.2,7.8,17.4,0.45,0.2,1.8,0.11,7.6,15.6,0.49,0.45,2.2,2.8,0.79,2.0,4.4,6.4,4.6,1.0,0.8,3.0,2.6,18.0
1993,13,1194,LAC,Los Angeles Clippers,Ron Harper,1964-01-20,29.0,NBA,SG,5.0,5.0,34.8,7.4,15.6,0.47,1.0,2.0,0.5,6.4,13.6,0.47,0.51,2.2,3.4,0.65,0.8,3.2,4.0,3.2,3.0,2.0,2.2,1.4,18.0
1995,5,1194,CHI,Chicago Bulls,Ron Harper,1964-01-20,31.0,NBA,SG,6.0,0.0,6.7,1.0,2.3,0.43,0.0,0.3,0.0,1.0,2.0,0.5,0.43,0.0,0.0,,0.3,0.7,1.0,0.7,0.5,0.2,0.2,1.0,2.0
1996,5,1194,CHI,Chicago Bulls,Ron Harper,1964-01-20,32.0,NBA,PG,18.0,16.0,27.4,3.2,7.4,0.42,0.8,2.6,0.32,2.3,4.8,0.48,0.48,1.6,2.3,0.69,1.4,2.3,3.7,2.5,1.4,0.4,1.0,2.1,8.8
1997,5,1194,CHI,Chicago Bulls,Ron Harper,1964-01-20,33.0,NBA,PG,19.0,19.0,27.1,2.6,6.6,0.4,1.1,3.2,0.34,1.5,3.4,0.45,0.48,1.1,1.5,0.75,1.1,3.2,4.3,3.0,1.3,0.7,0.6,2.3,7.5
1998,5,1194,CHI,Chicago Bulls,Ron Harper,1964-01-20,34.0,NBA,PG,21.0,21.0,26.8,2.7,5.8,0.46,0.2,0.9,0.26,2.4,4.9,0.5,0.48,1.1,1.9,0.62,1.0,2.6,3.7,2.3,1.0,0.9,0.9,2.0,6.7
2000,14,1194,LAL,Los Angeles Lakers,Ron Harper,1964-01-20,36.0,NBA,PG,23.0,23.0,28.0,3.4,7.9,0.43,0.4,1.7,0.23,3.0,6.2,0.49,0.46,1.4,2.0,0.7,1.3,2.4,3.7,3.2,1.0,0.6,1.2,2.7,8.6
2001,14,1194,LAL,Los Angeles Lakers,Ron Harper,1964-01-20,37.0,NBA,PG,6.0,0.0,7.0,0.8,1.7,0.5,0.2,0.7,0.25,0.7,1.0,0.67,0.55,0.3,0.5,0.67,0.2,1.2,1.3,0.7,0.7,0.2,0.2,0.7,2.2
