PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Larry Nance,29,5,195,20.9,0.584,0.0,0.46399999999999997,9.5,14.0,11.8,15.0,0.8,4.2,9.8,21.7,,0.4,0.3,0.7,0.174,,3.9,2.1,6.1,0.4
Ron Harper,25,5,189,21.1,0.609,0.028999999999999998,0.377,4.3,8.8,6.5,19.7,3.1,1.4,8.0,21.2,,0.5,0.3,0.8,0.20800000000000002,,3.4,3.5,6.9,0.4
Brad Daugherty,23,5,167,13.3,0.441,0.021,0.745,8.3,24.2,16.2,11.2,1.9,2.0,8.8,18.8,,0.0,0.3,0.3,0.08900000000000001,,-0.8,0.9,0.1,0.1
Hot Rod Williams,26,5,161,11.9,0.52,0.0,0.4,5.0,19.9,12.4,10.1,0.7,3.0,17.2,18.2,,-0.1,0.2,0.2,0.055999999999999994,,-1.5,1.3,-0.2,0.1
Mark Price,24,4,158,9.8,0.503,0.281,0.263,2.9,6.8,4.8,23.1,1.0,0.0,23.0,24.0,,-0.2,0.1,-0.1,-0.032,,0.0,-3.4,-3.4,-0.1
Craig Ehlo,27,4,97,15.6,0.547,0.33299999999999996,0.282,2.4,4.9,3.6,23.6,1.6,0.7,10.2,23.1,,0.1,0.1,0.2,0.11599999999999999,,1.8,0.7,2.5,0.1
Mike Sanders,28,5,87,8.1,0.512,0.0,0.16699999999999998,8.0,13.7,10.8,8.1,1.2,0.8,23.7,22.2,,-0.2,0.1,-0.1,-0.037000000000000005,,-4.4,-0.2,-4.6,-0.1
Darnell Valentine,29,5,80,12.1,0.446,0.0,0.4,4.4,5.9,5.1,30.5,3.3,0.0,17.5,16.4,,0.0,0.1,0.1,0.066,,-1.4,2.4,1.0,0.1
Tree Rollins,33,5,74,14.7,0.735,0.0,0.625,7.8,17.7,12.7,2.0,2.2,6.4,8.9,6.9,,0.1,0.2,0.3,0.188,,-0.5,4.6,4.2,0.1
Randolph Keys,22,1,12,-12.3,0.0,0.33299999999999996,0.0,0.0,29.7,14.7,11.2,0.0,0.0,40.0,19.1,,-0.1,0.0,-0.1,-0.408,,-16.3,-3.6,-19.9,-0.1
Chris Dudley,23,1,4,-26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.9,,-0.1,0.0,-0.1,-0.618,,-27.8,-5.0,-32.8,0.0
Phil Hubbard,32,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.015,,-3.8,-1.6,-5.4,0.0
