PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Patrick Ewing,26,9,340,19.1,0.536,0.0,0.361,7.6,24.1,15.4,9.5,1.3,3.6,8.2,23.0,,0.6,0.4,1.0,0.138,,1.5,0.6,2.2,0.4
Mark Jackson,23,9,336,17.7,0.588,0.28,0.28,2.3,8.7,5.4,40.3,1.5,0.6,20.0,18.0,,0.6,0.2,0.8,0.114,,4.6,-0.2,4.3,0.5
Charles Oakley,25,9,299,12.5,0.521,0.027000000000000003,0.32899999999999996,16.1,23.7,19.7,5.2,2.0,0.2,20.8,15.2,,0.0,0.3,0.4,0.062,,-1.0,-0.9,-1.9,0.0
Gerald Wilkins,25,9,290,15.2,0.514,0.076,0.17600000000000002,3.5,10.1,6.6,23.9,2.1,0.7,13.5,24.2,,0.1,0.2,0.4,0.06,,-0.4,0.8,0.4,0.2
Johnny Newman,25,9,258,15.0,0.564,0.262,0.45799999999999996,5.6,5.7,5.7,10.5,1.6,0.3,12.3,24.4,,0.4,0.1,0.5,0.091,,1.1,-0.5,0.6,0.2
Trent Tucker,29,9,159,16.5,0.594,0.552,0.069,6.3,7.7,7.0,13.5,3.2,0.9,9.1,17.8,,0.3,0.2,0.5,0.14400000000000002,,3.2,2.5,5.8,0.3
Kiki Vandeweghe,30,9,159,14.5,0.627,0.163,0.429,1.4,6.9,4.0,6.6,1.0,0.9,7.9,17.1,,0.4,0.1,0.4,0.134,,1.2,0.2,1.4,0.1
Sidney Green,28,9,128,9.0,0.498,0.0,0.467,12.2,21.0,16.4,5.4,0.8,0.5,16.2,14.5,,0.0,0.1,0.1,0.053,,-3.7,-1.1,-4.8,-0.1
Rod Strickland,22,9,111,12.4,0.478,0.02,0.34700000000000003,6.0,7.7,6.8,36.0,1.8,0.6,18.7,26.9,,-0.1,0.1,0.0,0.002,,-1.1,-1.1,-2.2,0.0
Kenny Walker,24,9,90,4.2,0.46799999999999997,0.0,1.462,6.2,14.9,10.4,2.8,0.6,2.3,15.8,12.1,,0.0,0.1,0.1,0.031,,-6.5,0.1,-6.4,-0.1
Eddie Lee Wilkins,26,7,26,12.1,0.48700000000000004,0.0,0.909,21.5,28.2,24.7,0.0,0.0,0.0,20.6,32.1,,-0.1,0.0,0.0,-0.07200000000000001,,-4.3,-4.6,-8.9,0.0
Pete Myers,25,4,14,16.5,0.758,,,8.0,17.4,12.5,8.7,0.0,4.9,0.0,8.1,,0.1,0.0,0.1,0.24,,1.6,2.7,4.3,0.0
