PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gordon Hayward,26,11,11,411,7.3,16.5,0.441,2.5,6.0,0.41200000000000003,4.8,10.5,0.45799999999999996,6.2,6.7,0.934,0.6,5.3,5.9,3.2,0.9,0.3,2.1,2.0,23.2
Joe Ingles,29,11,11,334,2.7,6.7,0.40299999999999997,1.6,4.4,0.366,1.1,2.3,0.47600000000000003,0.6,1.0,0.667,0.2,4.2,4.4,3.9,2.4,0.5,1.7,3.0,7.7
Joe Johnson,35,11,2,326,6.4,14.7,0.436,1.7,5.0,0.33299999999999996,4.7,9.7,0.489,1.2,1.7,0.733,0.9,3.9,4.7,3.0,0.7,0.1,1.4,2.3,15.7
George Hill,30,8,8,281,5.9,12.6,0.469,1.5,4.0,0.387,4.4,8.6,0.507,2.7,3.7,0.7240000000000001,1.0,3.2,4.2,3.7,0.3,0.1,1.7,3.2,16.0
Rodney Hood,24,11,0,277,4.8,13.6,0.35200000000000004,1.7,6.5,0.26,3.1,7.1,0.436,1.4,2.3,0.611,0.1,3.8,3.9,1.6,0.6,0.0,1.3,3.9,12.7
Rudy Gobert,24,9,9,246,5.9,9.2,0.635,0.0,0.0,,5.9,9.2,0.635,3.5,7.3,0.48,3.2,9.8,13.0,1.6,1.3,1.8,1.3,4.4,15.2
Derrick Favors,25,11,2,225,5.8,9.9,0.581,0.0,0.0,,5.8,9.9,0.581,1.8,3.7,0.478,2.4,7.2,9.6,1.6,1.3,1.0,0.6,4.0,13.3
Boris Diaw,34,11,9,203,4.3,8.5,0.5,1.1,2.5,0.429,3.2,6.0,0.529,1.6,1.8,0.9,0.5,3.2,3.7,3.9,1.2,0.7,2.5,2.1,11.2
Shelvin Mack,26,9,3,155,3.9,11.4,0.34700000000000003,1.6,3.5,0.467,2.3,7.9,0.294,3.0,3.5,0.867,0.7,5.1,5.8,4.2,0.9,0.0,2.1,3.3,12.5
Dante Exum,21,7,0,84,4.7,11.6,0.40700000000000003,1.7,5.1,0.33299999999999996,3.0,6.4,0.467,2.6,2.6,1.0,0.9,1.7,2.6,3.9,2.1,0.0,1.3,4.3,13.7
Raul Neto,24,9,0,60,4.8,7.8,0.615,1.8,3.6,0.5,3.0,4.2,0.7140000000000001,2.4,2.4,1.0,0.0,4.2,4.2,2.4,0.6,0.6,1.8,4.8,13.8
Jeff Withey,26,3,0,21,3.4,6.9,0.5,0.0,0.0,,3.4,6.9,0.5,1.7,3.4,0.5,5.1,1.7,6.9,1.7,1.7,1.7,0.0,8.6,8.6
Trey Lyles,21,2,0,10,10.8,25.2,0.429,3.6,10.8,0.33299999999999996,7.2,14.4,0.5,0.0,0.0,,0.0,7.2,7.2,3.6,3.6,0.0,3.6,3.6,25.2
Joel Bolomboy,23,2,0,9,8.0,12.0,0.667,0.0,0.0,,8.0,12.0,0.667,0.0,0.0,,0.0,8.0,8.0,0.0,0.0,4.0,0.0,0.0,16.0
