Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,,3011,WSB,None,21.0,NBA,PF,65,51,27.5,4.2,8.7,.487,0.4,1.3,.329,3.8,7.4,.513,.511,1.2,1.8,.650,1.4,3.2,4.7,1.3,0.6,0.8,1.6,3.2,10.1
1997,25.0,3011,POR,Portland Trail Blazers,22.0,NBA,PF,62,56,30.5,6.1,11.0,.558,0.1,0.5,.273,6.0,10.5,.573,.565,2.7,4.3,.638,2.0,4.8,6.8,1.2,0.8,1.0,1.8,3.2,15.1
1998,25.0,3011,POR,Portland Trail Blazers,23.0,NBA,PF,77,77,37.6,6.1,11.4,.533,0.1,0.5,.205,5.9,10.9,.548,.537,2.4,3.6,.662,1.7,4.5,6.2,2.5,1.0,1.1,2.2,3.5,14.6
1999,25.0,3011,POR,Portland Trail Blazers,24.0,NBA,PF,49,18,28.9,4.9,9.7,.508,0.3,0.6,.419,4.7,9.1,.515,.522,2.7,3.7,.732,1.2,3.8,4.9,1.2,1.0,1.1,1.6,3.6,12.8
2001,25.0,3011,POR,Portland Trail Blazers,26.0,NBA,PF,77,75,38.2,7.7,15.3,.501,0.7,2.1,.321,7.0,13.2,.530,.523,3.2,4.2,.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2
2002,25.0,3011,POR,Portland Trail Blazers,27.0,NBA,PF,79,79,37.5,7.6,16.3,.469,1.4,4.0,.360,6.2,12.3,.504,.513,2.5,3.5,.734,1.7,6.4,8.2,1.9,1.3,1.3,1.7,2.7,19.3
2003,25.0,3011,POR,Portland Trail Blazers,28.0,NBA,PF,74,74,36.3,7.0,14.8,.471,1.5,4.1,.358,5.5,10.6,.515,.521,2.7,3.7,.735,1.5,5.9,7.4,2.1,0.9,1.0,1.9,3.0,18.1
2004,31.0,3011,TOT,Total After Trade,29.0,NBA,PF,68,66,35.1,6.3,14.3,.436,1.2,3.6,.331,5.0,10.7,.472,.478,2.3,3.1,.736,1.5,5.3,6.8,2.3,0.9,1.8,1.8,2.8,16.0
2004,25.0,3011,POR,Portland Trail Blazers,29.0,NBA,PF,45,44,37.2,6.6,14.9,.442,1.3,3.8,.341,5.3,11.0,.478,.487,2.6,3.4,.742,1.5,5.1,6.6,2.5,0.8,1.6,1.9,2.9,17.0
2004,1.0,3011,ATL,Atlanta Hawks,29.0,NBA,PF,1,1,42.0,8.0,24.0,.333,1.0,6.0,.167,7.0,18.0,.389,.354,3.0,3.0,1.000,1.0,5.0,6.0,2.0,1.0,5.0,3.0,0.0,20.0
2004,9.0,3011,DET,Detroit Pistons,29.0,NBA,PF,22,21,30.6,5.5,12.8,.431,1.0,3.1,.319,4.5,9.6,.467,.470,1.7,2.5,.704,1.5,5.6,7.0,1.8,1.1,2.0,1.3,2.7,13.7
2005,9.0,3011,DET,Detroit Pistons,30.0,NBA,PF,79,79,34.0,5.9,13.4,.440,0.9,3.0,.318,5.0,10.5,.475,.475,1.7,2.5,.697,2.2,5.9,8.2,1.8,0.8,1.5,1.6,3.0,14.5
2006,9.0,3011,DET,Detroit Pistons,31.0,NBA,PF,80,80,34.8,5.7,13.3,.430,1.9,5.4,.357,3.8,7.9,.480,.503,1.7,2.3,.743,1.1,5.7,6.8,2.3,1.0,1.6,1.1,2.9,15.1
2007,9.0,3011,DET,Detroit Pistons,32.0,NBA,C,75,72,32.3,4.8,11.2,.423,1.4,3.9,.351,3.4,7.3,.463,.485,1.4,1.8,.788,1.2,6.0,7.2,1.7,1.0,1.6,1.3,3.0,12.3
2008,9.0,3011,DET,Detroit Pistons,33.0,NBA,C,77,76,30.5,4.9,11.3,.432,1.5,4.1,.356,3.4,7.2,.476,.497,1.5,1.9,.767,1.1,5.5,6.6,1.8,1.2,1.7,1.1,2.8,12.7
2009,9.0,3011,DET,Detroit Pistons,34.0,NBA,C,66,63,32.2,4.6,10.9,.419,1.7,4.8,.354,2.9,6.1,.471,.498,1.2,1.5,.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3.0,12.0
2010,2.0,3011,BOS,Boston Celtics,35.0,NBA,C,79,13,22.5,3.4,8.2,.409,1.0,3.7,.283,2.3,4.6,.511,.472,1.2,1.6,.768,0.5,3.6,4.1,1.0,1.0,0.9,0.8,2.8,9.0
2013,20.0,3011,NYK,New York Knicks,38.0,NBA,C,21,0,14.1,2.6,6.8,.387,1.0,3.3,.319,1.6,3.5,.452,.465,0.7,1.0,.700,0.5,3.4,4.0,0.3,0.6,0.7,0.5,1.9,7.0
