Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1980,17,MIL,Milwaukee Bucks,Marques Johnson,23,7,,43.3,7.7,18.3,0.42,0.1,0.4,0.33,7.6,17.9,0.42,0.43,4.3,5.7,0.75,2.4,4.4,6.9,2.9,0.7,0.9,1.1,2.9,19.9
1980,17,MIL,Milwaukee Bucks,Brian Winters,27,7,,38.3,6.6,14.3,0.46,1.3,3.0,0.43,5.3,11.3,0.47,0.5,1.4,1.4,1.0,0.6,2.4,3.0,5.3,1.6,0.0,2.3,3.6,15.9
1980,17,MIL,Milwaukee Bucks,Bob Lanier,31,7,,36.6,7.4,14.4,0.52,0.0,0.0,,7.4,14.4,0.52,0.52,4.4,6.0,0.74,2.4,6.9,9.3,4.4,1.0,1.1,2.4,3.3,19.3
1980,17,MIL,Milwaukee Bucks,Dave Meyers,26,7,,27.9,3.7,8.9,0.42,0.0,0.4,0.0,3.7,8.4,0.44,0.42,2.0,4.3,0.47,2.3,2.7,5.0,2.0,1.3,0.9,2.1,3.6,9.4
1980,17,MIL,Milwaukee Bucks,Sidney Moncrief,22,7,,26.0,4.3,7.3,0.59,0.0,0.0,,4.3,7.3,0.59,0.59,3.9,4.4,0.87,2.4,2.0,4.4,1.6,0.7,0.1,2.0,2.0,12.4
1980,17,MIL,Milwaukee Bucks,Junior Bridgeman,26,5,,24.8,4.0,11.2,0.36,0.0,0.2,0.0,4.0,11.0,0.36,0.36,2.2,3.0,0.73,0.8,3.0,3.8,3.4,1.0,0.4,2.8,3.4,10.2
1980,17,MIL,Milwaukee Bucks,Quinn Buckner,25,7,,23.6,2.6,7.6,0.34,0.0,0.1,0.0,2.6,7.4,0.35,0.34,1.0,1.6,0.64,0.9,1.4,2.3,4.4,2.1,0.0,1.9,2.9,6.1
1980,17,MIL,Milwaukee Bucks,Richard Washington,24,7,,16.0,3.6,6.7,0.53,0.0,0.0,,3.6,6.7,0.53,0.53,0.1,0.6,0.25,1.0,1.9,2.9,0.4,0.6,1.1,1.1,3.1,7.3
1980,17,MIL,Milwaukee Bucks,Harvey Catchings,28,6,,10.7,0.3,1.0,0.33,0.0,0.0,,0.3,1.0,0.33,0.33,0.3,0.7,0.5,0.8,2.7,3.5,0.3,0.0,1.3,0.3,2.2,1.0
1980,17,MIL,Milwaukee Bucks,Pat Cummings,23,6,,9.5,1.8,2.8,0.65,0.0,0.0,,1.8,2.8,0.65,0.65,0.8,1.0,0.83,0.7,2.0,2.7,0.3,0.2,0.0,1.3,1.5,4.5
1980,17,MIL,Milwaukee Bucks,Lloyd Walton,26,1,,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
