Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2013,15,3252,MEM,Memphis Grizzlies,Tony Wroten,"April 13, 1993",19.0,NBA,SG,35.0,0.0,272.0,33.0,86.0,0.38,4.0,16.0,0.25,29.0,70.0,0.41,0.41,21.0,29.0,0.72,13.0,15.0,28.0,43.0,8.0,4.0,29.0,34.0,91.0,0.0
2014,23,3252,PHI,Philadelphia 76Ers,Tony Wroten,"April 13, 1993",20.0,NBA,PG,72.0,16.0,1765.0,345.0,808.0,0.43,40.0,188.0,0.21,305.0,620.0,0.49,0.45,209.0,326.0,0.64,69.0,159.0,228.0,217.0,78.0,16.0,204.0,151.0,939.0,1.0
2015,23,3252,PHI,Philadelphia 76Ers,Tony Wroten,"April 13, 1993",21.0,NBA,PG,30.0,15.0,895.0,175.0,434.0,0.4,37.0,142.0,0.26,138.0,292.0,0.47,0.45,120.0,180.0,0.67,22.0,64.0,86.0,157.0,48.0,8.0,113.0,72.0,507.0,0.0
2016,23,3252,PHI,Philadelphia 76Ers,Tony Wroten,"April 13, 1993",22.0,NBA,PG,8.0,3.0,144.0,22.0,65.0,0.34,3.0,17.0,0.18,19.0,48.0,0.4,0.36,20.0,37.0,0.54,2.0,19.0,21.0,20.0,3.0,0.0,29.0,11.0,67.0,0.0
