Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1990,29,827,UTA,Utah Jazz,Blue Edwards,"October 31, 1965",24.0,NBA,SF,82.0,49.0,1889.0,7.6,14.9,0.51,0.2,0.8,0.3,7.3,14.1,0.52,3.9,5.4,0.72,1.8,4.8,6.6,3.8,2.0,1.0,4.0,7.4,19.2,101.0,106.0
1991,29,827,UTA,Utah Jazz,Blue Edwards,"October 31, 1965",25.0,NBA,SF,62.0,56.0,1611.0,7.6,14.5,0.53,0.2,0.8,0.25,7.4,13.8,0.54,2.6,3.7,0.7,1.6,4.7,6.3,3.4,1.8,0.9,3.3,6.3,18.0,101.0,106.0
1992,29,827,UTA,Utah Jazz,Blue Edwards,"October 31, 1965",26.0,NBA,SF,81.0,81.0,2283.0,9.5,18.3,0.52,0.9,2.3,0.38,8.7,16.0,0.54,2.5,3.2,0.77,1.9,4.7,6.6,3.0,1.8,1.0,2.7,5.2,22.4,110.0,107.0
1993,17,827,MIL,Milwaukee Bucks,Blue Edwards,"October 31, 1965",27.0,NBA,SF,82.0,81.0,2729.0,10.1,19.8,0.51,0.7,1.9,0.35,9.5,17.9,0.53,4.3,5.5,0.79,2.3,4.7,7.0,3.9,2.4,0.8,3.2,4.4,25.3,110.0,110.0
1994,17,827,MIL,Milwaukee Bucks,Blue Edwards,"October 31, 1965",28.0,NBA,SF,82.0,64.0,2322.0,8.4,17.5,0.48,0.8,2.3,0.36,7.5,15.2,0.5,3.3,4.1,0.8,2.3,4.9,7.2,3.7,1.8,0.6,3.2,5.1,20.8,104.0,111.0
1995,31,827,TOT,Total After Trade,Blue Edwards,"October 31, 1965",29.0,NBA,SF,67.0,7.0,1112.0,8.4,18.2,0.46,1.0,3.5,0.29,7.4,14.7,0.5,3.5,4.2,0.83,2.3,3.7,6.0,3.6,2.0,0.7,3.7,6.6,21.2,101.0,109.0
1995,2,827,BOS,Boston Celtics,Blue Edwards,"October 31, 1965",29.0,NBA,SF,31.0,7.0,507.0,8.4,19.6,0.43,1.1,4.3,0.26,7.2,15.3,0.47,4.3,4.8,0.9,2.5,4.0,6.5,4.7,1.9,1.0,3.9,6.4,22.2,103.0,111.0
1995,29,827,UTA,Utah Jazz,Blue Edwards,"October 31, 1965",29.0,NBA,SF,36.0,0.0,605.0,8.4,17.0,0.5,0.9,2.7,0.34,7.5,14.2,0.52,2.7,3.6,0.76,2.1,3.4,5.6,2.6,2.1,0.5,3.6,6.8,20.5,100.0,108.0
1996,15,827,VAN,Vancouver Grizzlies,Blue Edwards,"October 31, 1965",30.0,NBA,SF,82.0,82.0,2773.0,7.6,18.2,0.42,1.6,4.7,0.34,6.0,13.5,0.45,3.0,4.0,0.76,1.9,4.7,6.6,4.0,2.2,0.9,3.2,4.6,19.8,97.0,109.0
1997,15,827,VAN,Vancouver Grizzlies,Blue Edwards,"October 31, 1965",31.0,NBA,SF,61.0,12.0,1439.0,6.9,17.3,0.4,0.9,3.4,0.28,5.9,13.9,0.42,3.4,4.1,0.82,1.8,5.3,7.1,4.3,1.4,0.8,3.1,5.1,18.0,96.0,114.0
1998,15,827,VAN,Vancouver Grizzlies,Blue Edwards,"October 31, 1965",32.0,NBA,SG,81.0,20.0,1968.0,8.6,19.6,0.44,1.1,3.2,0.33,7.6,16.5,0.46,4.8,5.7,0.84,1.6,4.1,5.7,5.3,2.3,0.7,3.5,4.8,23.1,104.0,112.0
1999,16,827,MIA,Miami Heat,Blue Edwards,"October 31, 1965",33.0,NBA,SF,24.0,0.0,283.0,6.4,14.4,0.44,0.8,2.0,0.4,5.6,12.4,0.45,1.8,2.6,0.69,1.4,5.2,6.6,6.0,3.4,1.0,4.2,4.6,15.4,93.0,97.0
