Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1998,14,LAL,Los Angeles Lakers,20,Jon Barry,SG,6-4,195,1969-07-25,US,5,"University of the Pacific, Georgia Tech"
1998,14,LAL,Los Angeles Lakers,23,Mario Bennett,PF,6-6,235,1973-08-01,US,1,Arizona State
1998,14,LAL,Los Angeles Lakers,43,Corie Blount,PF,6-9,240,1969-01-04,US,4,Cincinnati
1998,14,LAL,Los Angeles Lakers,8,Kobe Bryant,SF,6-6,212,1978-08-23,US,1,
1998,14,LAL,Los Angeles Lakers,41,Elden Campbell,PF,6-11,215,1968-07-23,US,7,Clemson
1998,14,LAL,Los Angeles Lakers,2,Derek Fisher,PG,6-1,200,1974-08-09,US,1,Little Rock
1998,14,LAL,Los Angeles Lakers,17,Rick Fox,SF,6-7,230,1969-07-24,CA,6,UNC
1998,14,LAL,Los Angeles Lakers,5,Robert Horry,PF,6-10,240,1970-08-25,US,5,Alabama
1998,14,LAL,Los Angeles Lakers,6,Eddie Jones,SG,6-6,190,1971-10-20,US,3,Temple
1998,14,LAL,Los Angeles Lakers,34,Shaquille O'Neal,C,7-1,325,1972-03-06,US,5,LSU
1998,14,LAL,Los Angeles Lakers,45,Sean Rooks,C,6-10,250,1969-09-09,US,5,Arizona
1998,14,LAL,Los Angeles Lakers,24,Shea Seals,SG,6-5,210,1975-08-26,US,R,Tulsa
1998,14,LAL,Los Angeles Lakers,9,Nick Van Exel,PG,6-1,170,1971-11-27,US,4,"Trinity Valley CC, Cincinnati"
