Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1998,6,70,CLE,Cleveland Cavaliers,23,Derek Anderson,SF,6-5,194,"July 18, 1974",US,R,"Ohio State, Kentucky"
1998,6,366,CLE,Cleveland Cavaliers,2,Scott Brooks,PG,5-11,165,"July 31, 1965",US,9,"TCU, University of California, Irvine"
1998,6,440,CLE,Cleveland Cavaliers,6,Mitchell Butler,SG,6-5,210,"December 15, 1970",US,4,UCLA
1998,6,799,CLE,Cleveland Cavaliers,27,Tony Dumas,SG,6-6,190,"August 25, 1972",US,3,Missouri-Kansas City
1998,6,912,CLE,Cleveland Cavaliers,35,Danny Ferry,PF,6-10,230,"October 17, 1966",US,7,Duke
1998,6,1069,CLE,Cleveland Cavaliers,20,Greg Graham,SG,6-4,174,"November 26, 1970",US,4,Indiana
1998,6,1249,CLE,Cleveland Cavaliers,45,Cedric Henderson,SF,6-7,215,"March 11, 1975",US,R,Memphis
1998,6,1377,CLE,Cleveland Cavaliers,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",LT,R,
1998,6,1425,CLE,Cleveland Cavaliers,32,Henry James,PF,6-8,220,"July 29, 1965",US,6,"South Plains College, St. Mary's University"
1998,6,1592,CLE,Cleveland Cavaliers,4,Shawn Kemp,PF,6-10,230,"November 26, 1969",US,8,Trinity Valley CC
1998,6,1637,CLE,Cleveland Cavaliers,12,Brevin Knight,PG,5-10,173,"November 8, 1975",US,R,Stanford
1998,6,2291,CLE,Cleveland Cavaliers,1,Wesley Person,SG,6-6,195,"March 28, 1971",US,3,Auburn
1998,6,2346,CLE,Cleveland Cavaliers,52,Vitaly Potapenko,C,6-10,280,"March 21, 1975",UA,1,Wright State University
1998,6,2586,CLE,Cleveland Cavaliers,44,Shawnelle Scott,C,6-10,250,"June 16, 1972",US,1,St. John's
1998,6,2787,CLE,Cleveland Cavaliers,3,Bob Sura,SG,6-5,200,"March 25, 1973",US,2,Florida State
1998,6,2842,CLE,Cleveland Cavaliers,30,Carl Thomas,SG,6-4,175,"October 3, 1969",US,2,Eastern Michigan
