Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2012,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,21.0,NBA,PG,41.0,31.0,1404.0,139.0,389.0,0.36,32.0,94.0,0.34,107.0,295.0,0.36,0.4,126.0,157.0,0.8,21.0,150.0,171.0,336.0,91.0,8.0,131.0,97.0,436.0,0.0
2013,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,22.0,NBA,PG,57.0,47.0,1691.0,185.0,514.0,0.36,27.0,92.0,0.29,158.0,422.0,0.37,0.39,211.0,264.0,0.8,44.0,185.0,229.0,418.0,137.0,5.0,172.0,143.0,608.0,1.0
2014,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,23.0,NBA,PG,82.0,82.0,2638.0,255.0,670.0,0.38,44.0,133.0,0.33,211.0,537.0,0.39,0.41,227.0,283.0,0.8,61.0,281.0,342.0,704.0,191.0,11.0,221.0,218.0,781.0,2.0
2015,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,24.0,NBA,PG,22.0,22.0,692.0,78.0,219.0,0.36,13.0,51.0,0.26,65.0,168.0,0.39,0.39,57.0,71.0,0.8,19.0,106.0,125.0,193.0,38.0,1.0,64.0,59.0,226.0,1.0
2016,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,25.0,NBA,PG,76.0,76.0,2323.0,219.0,586.0,0.37,62.0,190.0,0.33,157.0,396.0,0.4,0.43,266.0,314.0,0.85,40.0,286.0,326.0,658.0,162.0,10.0,193.0,201.0,766.0,0.0
2017,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,26.0,NBA,PG,75.0,75.0,2469.0,261.0,650.0,0.4,60.0,196.0,0.31,201.0,454.0,0.44,0.45,254.0,285.0,0.89,68.0,237.0,305.0,682.0,128.0,10.0,195.0,202.0,836.0,1.0
2018,29,2529,UTA,Utah Jazz,Ricky Rubio,1990-10-21,27.0,NBA,PG,77.0,77.0,2254.0,346.0,827.0,0.42,96.0,273.0,0.35,250.0,554.0,0.45,0.48,220.0,254.0,0.87,44.0,307.0,351.0,410.0,121.0,11.0,207.0,206.0,1008.0,0.0
2019,29,2529,UTA,Utah Jazz,Ricky Rubio,1990-10-21,28.0,NBA,PG,68.0,67.0,1899.0,295.0,730.0,0.4,79.0,254.0,0.31,216.0,476.0,0.45,0.46,195.0,228.0,0.86,33.0,210.0,243.0,416.0,91.0,10.0,180.0,180.0,864.0,0.0
2020,24,2529,PHO,Phoenix Suns,Ricky Rubio,1990-10-21,29.0,NBA,PG,65.0,65.0,2016.0,287.0,692.0,0.42,78.0,216.0,0.36,209.0,476.0,0.44,0.47,195.0,226.0,0.86,46.0,258.0,304.0,570.0,94.0,11.0,173.0,167.0,847.0,2.0
2021,18,2529,MIN,Minnesota Timberwolves,Ricky Rubio,1990-10-21,30.0,NBA,PG,42.0,27.0,1107.0,120.0,299.0,0.4,35.0,112.0,0.31,85.0,187.0,0.46,0.46,88.0,105.0,0.84,19.0,113.0,132.0,286.0,55.0,1.0,83.0,93.0,363.0,0.0
