Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2007,30,265,WAS,Washington Wizards,Andray Blatche,1986-08-22,20.0,NBA,PF,2.0,0.0,25.0,8.7,13.0,0.67,0.0,0.0,,8.7,13.0,0.67,2.2,2.2,1.0,6.5,8.7,15.2,0.0,0.0,0.0,2.2,4.3,19.5,129.0,115.0
2008,30,265,WAS,Washington Wizards,Andray Blatche,1986-08-22,21.0,NBA,PF,6.0,0.0,89.0,5.5,12.9,0.43,0.0,0.6,0.0,5.5,12.3,0.45,2.5,7.4,0.33,4.3,8.0,12.3,0.6,1.2,3.7,3.1,9.2,13.5,83.0,106.0
2013,3,265,BRK,Brooklyn Nets,Andray Blatche,1986-08-22,26.0,NBA,C,7.0,0.0,138.0,11.4,22.9,0.5,0.0,0.0,,11.4,22.9,0.5,5.5,6.7,0.82,3.9,9.5,13.4,3.5,0.8,1.2,2.0,5.5,28.4,116.0,105.0
2014,3,265,BRK,Brooklyn Nets,Andray Blatche,1986-08-22,27.0,NBA,PF,12.0,0.0,172.0,8.4,18.7,0.45,0.0,0.6,0.0,8.4,18.1,0.46,8.1,9.7,0.83,8.1,11.3,19.4,1.3,1.9,0.6,3.2,7.1,24.9,113.0,109.0
