Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006,29,3132,UTA,Utah Jazz,Deron Williams,"June 26, 1984",21.0,NBA,PG,80.0,47.0,2307.0,339.0,805.0,0.42,91.0,219.0,0.42,248.0,586.0,0.42,0.48,95.0,135.0,0.7,35.0,159.0,194.0,359.0,60.0,17.0,145.0,233.0,864.0
2007,29,3132,UTA,Utah Jazz,Deron Williams,"June 26, 1984",22.0,NBA,PG,80.0,80.0,2950.0,494.0,1083.0,0.46,82.0,255.0,0.32,412.0,828.0,0.5,0.49,227.0,296.0,0.77,41.0,226.0,267.0,745.0,78.0,13.0,246.0,254.0,1297.0
2008,29,3132,UTA,Utah Jazz,Deron Williams,"June 26, 1984",23.0,NBA,PG,82.0,82.0,3059.0,566.0,1117.0,0.51,83.0,210.0,0.4,483.0,907.0,0.53,0.54,330.0,411.0,0.8,34.0,209.0,243.0,862.0,90.0,23.0,279.0,200.0,1545.0
2009,29,3132,UTA,Utah Jazz,Deron Williams,"June 26, 1984",24.0,NBA,PG,68.0,68.0,2505.0,463.0,984.0,0.47,70.0,226.0,0.31,393.0,758.0,0.52,0.51,326.0,384.0,0.85,24.0,171.0,195.0,725.0,73.0,20.0,228.0,134.0,1322.0
2010,29,3132,UTA,Utah Jazz,Deron Williams,"June 26, 1984",25.0,NBA,PG,76.0,76.0,2802.0,494.0,1053.0,0.47,96.0,259.0,0.37,398.0,794.0,0.5,0.52,335.0,418.0,0.8,50.0,253.0,303.0,798.0,96.0,16.0,252.0,208.0,1419.0
2011,31,3132,TOT,Total After Trade,Deron Williams,"June 26, 1984",26.0,NBA,PG,65.0,65.0,2465.0,428.0,975.0,0.44,105.0,317.0,0.33,323.0,658.0,0.49,0.49,348.0,412.0,0.84,40.0,220.0,260.0,667.0,79.0,15.0,230.0,190.0,1309.0
2011,29,3132,UTA,Utah Jazz,Deron Williams,"June 26, 1984",26.0,NBA,PG,53.0,53.0,2009.0,369.0,806.0,0.46,89.0,258.0,0.34,280.0,548.0,0.51,0.51,302.0,354.0,0.85,32.0,173.0,205.0,514.0,64.0,12.0,187.0,152.0,1129.0
2011,3,3132,NJN,New Jersey Nets,Deron Williams,"June 26, 1984",26.0,NBA,PG,12.0,12.0,456.0,59.0,169.0,0.35,16.0,59.0,0.27,43.0,110.0,0.39,0.4,46.0,58.0,0.79,8.0,47.0,55.0,153.0,15.0,3.0,43.0,38.0,180.0
2012,3,3132,NJN,New Jersey Nets,Deron Williams,"June 26, 1984",27.0,NBA,PG,55.0,55.0,1999.0,391.0,961.0,0.41,115.0,342.0,0.34,276.0,619.0,0.45,0.47,257.0,305.0,0.84,23.0,160.0,183.0,481.0,67.0,20.0,219.0,121.0,1154.0
2013,3,3132,BRK,Brooklyn Nets,Deron Williams,"June 26, 1984",28.0,NBA,PG,78.0,78.0,2842.0,495.0,1124.0,0.44,169.0,447.0,0.38,326.0,677.0,0.48,0.52,317.0,369.0,0.86,29.0,203.0,232.0,604.0,75.0,30.0,218.0,194.0,1476.0
2014,3,3132,BRK,Brooklyn Nets,Deron Williams,"June 26, 1984",29.0,NBA,PG,64.0,58.0,2059.0,322.0,716.0,0.45,98.0,268.0,0.37,224.0,448.0,0.5,0.52,173.0,216.0,0.8,15.0,153.0,168.0,392.0,93.0,13.0,143.0,148.0,915.0
2015,3,3132,BRK,Brooklyn Nets,Deron Williams,"June 26, 1984",30.0,NBA,PG,68.0,55.0,2114.0,298.0,771.0,0.39,87.0,237.0,0.37,211.0,534.0,0.4,0.44,201.0,241.0,0.83,29.0,208.0,237.0,448.0,64.0,17.0,154.0,157.0,884.0
2016,7,3132,DAL,Dallas Mavericks,Deron Williams,"June 26, 1984",31.0,NBA,PG,65.0,63.0,2106.0,321.0,775.0,0.41,97.0,282.0,0.34,224.0,493.0,0.45,0.48,179.0,206.0,0.87,19.0,171.0,190.0,378.0,61.0,14.0,150.0,155.0,918.0
2017,31,3132,TOT,Total After Trade,Deron Williams,"June 26, 1984",32.0,NBA,PG,64.0,44.0,1657.0,263.0,600.0,0.44,85.0,234.0,0.36,178.0,366.0,0.49,0.51,90.0,109.0,0.83,14.0,133.0,147.0,360.0,31.0,8.0,138.0,138.0,701.0
2017,7,3132,DAL,Dallas Mavericks,Deron Williams,"June 26, 1984",32.0,NBA,PG,40.0,40.0,1171.0,195.0,453.0,0.43,63.0,181.0,0.35,132.0,272.0,0.48,0.5,69.0,84.0,0.82,13.0,89.0,102.0,274.0,25.0,2.0,98.0,96.0,522.0
2017,6,3132,CLE,Cleveland Cavaliers,Deron Williams,"June 26, 1984",32.0,NBA,PG,24.0,4.0,486.0,68.0,147.0,0.46,22.0,53.0,0.42,46.0,94.0,0.49,0.54,21.0,25.0,0.84,1.0,44.0,45.0,86.0,6.0,6.0,40.0,42.0,179.0
