Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1999,13,556,LAC,Los Angeles Clippers,33,Keith Closs,C,7-3,212,"April 3, 1976",US,1,Central Connecticut State University
1999,13,771,LAC,Los Angeles Clippers,20,Sherman Douglas,PG,6-0,180,"September 15, 1966",US,9,Syracuse
1999,13,1346,LAC,Los Angeles Clippers,6,Troy Hudson,PG,6-1,170,"March 13, 1976",US,1,"Missouri, Southern Illinois"
1999,13,1853,LAC,Los Angeles Clippers,15,Darrick Martin,PG,5-11,170,"March 6, 1971",US,4,UCLA
1999,13,2090,LAC,Los Angeles Clippers,7,Lamond Murray,SF,6-7,236,"April 20, 1973",US,4,California
1999,13,2126,LAC,Los Angeles Clippers,8,Tyrone Nesby,SF,6-6,225,"January 31, 1976",US,R,UNLV
1999,13,2206,LAC,Los Angeles Clippers,34,Michael Olowokandi,C,7-0,269,"April 3, 1975",NG,R,University of the Pacific
1999,13,2303,LAC,Los Angeles Clippers,52,Eric Piatkowski,SG,6-7,215,"September 30, 1970",US,4,Nebraska
1999,13,2445,LAC,Los Angeles Clippers,24,Pooh Richardson,PG,6-1,180,"May 14, 1966",US,9,UCLA
1999,13,2479,LAC,Los Angeles Clippers,26,James Robinson,PG,6-2,180,"August 31, 1970",US,5,Alabama
1999,13,2499,LAC,Los Angeles Clippers,54,Rodney Rogers,SF,6-7,235,"June 20, 1971",US,5,Wake Forest
1999,13,2655,LAC,Los Angeles Clippers,32,Brian Skinner,PF,6-9,255,"May 19, 1976",US,R,Baylor
1999,13,2668,LAC,Los Angeles Clippers,5,Charles Smith,SG,6-4,194,"August 22, 1975",US,1,New Mexico
1999,13,2818,LAC,Los Angeles Clippers,23,Maurice Taylor,PF,6-9,260,"October 30, 1976",US,1,"Michigan, LSU"
1999,13,2982,LAC,Los Angeles Clippers,11,Stojko Vrankovic,C,7-2,260,"January 22, 1964",HR,4,
1999,13,3245,LAC,Los Angeles Clippers,55,Lorenzen Wright,C,6-11,225,"November 4, 1975",US,2,Memphis
