SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1987,29,UTA,41,Thurl Bailey,PF,6-11,215,1961-04-07,US,3,NC State
1987,29,UTA,54,Kent Benson,C,6-10,235,1954-12-27,US,9,Indiana
1987,29,UTA,30,Dell Curry,SG,6-4,190,1964-06-25,US,R,Virginia Tech
1987,29,UTA,53,Mark Eaton,C,7-4,275,1957-01-24,US,4,UCLA
1987,29,UTA,14,Rickey Green,PG,6-0,170,1954-08-18,US,8,Michigan
1987,29,UTA,35,Darrell Griffith,SG,6-4,190,1958-06-16,US,5,Louisville
1987,29,UTA,20,Bob Hansen,SG,6-6,190,1961-01-18,US,3,Iowa
1987,29,UTA,43,Marc Iavaroni,PF,6-8,210,1956-09-15,US,4,Virginia
1987,29,UTA,32,Karl Malone,PF,6-9,250,1963-07-24,US,1,Louisiana Tech
1987,29,UTA,22,Carey Scurry,SF,6-7,188,1962-12-04,US,1,Long Island University
1987,29,UTA,12,John Stockton,PG,6-1,170,1962-03-26,US,2,Gonzaga
1987,29,UTA,4,Kelly Tripucka,SF,6-6,220,1959-02-16,US,5,Notre Dame
