Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1980,1,631,ATL,Atlanta Hawks,31.0,NBA,PG,81.0,1794.0,11.5,0.5,0.03,0.37,1.6,5.4,3.5,20.0,2.0,0.1,16.2,18.2,,1.0,1.8,2.8,0.08,,-1.4,0.0,-1.4,0.3
1981,1,631,ATL,Atlanta Hawks,32.0,NBA,PG,66.0,1708.0,13.0,0.54,0.04,0.44,1.7,5.0,3.4,23.8,1.7,0.1,18.8,17.3,,1.8,0.7,2.5,0.07,,0.1,-1.2,-1.2,0.4
1982,31,631,TOT,Total After Trade,33.0,NBA,PG,55.0,1392.0,13.3,0.52,0.06,0.32,1.1,5.9,3.4,19.2,1.5,0.3,12.6,19.5,,1.6,0.4,2.1,0.07,,-0.2,-1.1,-1.3,0.2
1982,1,631,ATL,Atlanta Hawks,33.0,NBA,PG,27.0,552.0,13.6,0.48,0.04,0.35,1.2,6.6,3.9,20.7,2.1,0.2,11.0,21.4,,0.4,0.6,1.0,0.09,,-0.8,0.3,-0.5,0.2
1982,13,631,SDC,San Diego Clippers,33.0,NBA,PG,28.0,840.0,13.1,0.55,0.07,0.3,1.0,5.4,3.1,18.1,1.2,0.3,13.8,18.3,,1.2,-0.2,1.1,0.06,,0.2,-2.1,-1.8,0.0
1983,17,631,MIL,Milwaukee Bucks,34.0,NBA,PG,66.0,922.0,14.5,0.5,0.08,0.2,1.8,7.4,4.7,19.8,1.4,0.0,9.7,20.3,,1.3,0.9,2.2,0.11,,0.3,-0.5,-0.2,0.4
1984,31,631,TOT,Total After Trade,35.0,NBA,PG,15.0,215.0,10.8,0.45,0.12,0.31,2.7,7.9,5.3,23.8,1.9,0.0,14.5,13.7,,0.1,0.2,0.3,0.07,,-2.2,0.2,-2.1,0.1
1984,17,631,MIL,Milwaukee Bucks,35.0,NBA,PG,6.0,107.0,10.6,0.43,0.2,0.37,2.2,7.2,4.8,20.9,2.3,0.0,10.3,15.3,,0.0,0.1,0.2,0.08,,-2.4,0.5,-2.0,0.0
1984,1,631,ATL,Atlanta Hawks,35.0,NBA,PG,9.0,108.0,11.0,0.48,0.0,0.23,3.1,8.6,5.8,26.6,1.4,0.0,19.9,12.1,,0.0,0.1,0.1,0.06,,-2.0,-0.1,-2.1,0.0
1985,1,631,ATL,Atlanta Hawks,36.0,NBA,PG,4.0,115.0,6.9,0.46,0.12,0.35,1.9,11.3,6.7,23.7,1.3,0.0,35.9,11.0,,-0.1,0.1,0.0,-0.01,,-3.3,1.0,-2.3,0.0
