Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,24,1494,PHO,Phoenix Suns,Joe Johnson,"June 29, 1981",21.0,NBA,SG,6.0,0.0,27.3,2.3,8.5,0.28,0.3,2.2,0.15,2.0,6.3,0.32,0.29,0.3,0.8,0.4,1.0,3.3,4.3,1.3,0.7,0.3,2.0,2.5,5.3
2005,24,1494,PHO,Phoenix Suns,Joe Johnson,"June 29, 1981",23.0,NBA,SF,9.0,9.0,39.4,7.0,13.9,0.5,2.2,4.0,0.56,4.8,9.9,0.48,0.58,2.6,3.7,0.7,0.8,3.6,4.3,3.3,1.1,0.4,1.1,2.0,18.8
2008,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",26.0,NBA,SG,7.0,7.0,39.3,6.7,16.4,0.41,2.3,5.1,0.44,4.4,11.3,0.39,0.48,4.3,4.7,0.91,1.3,2.6,3.9,4.0,0.3,0.0,2.3,2.3,20.0
2009,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",27.0,NBA,SG,11.0,11.0,39.0,6.4,15.3,0.42,1.1,3.2,0.34,5.3,12.1,0.44,0.45,2.5,4.1,0.62,1.5,2.9,4.5,3.5,1.3,0.0,2.9,2.2,16.4
2010,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",28.0,NBA,SG,11.0,11.0,40.0,7.0,18.1,0.39,0.8,3.7,0.22,6.2,14.4,0.43,0.41,3.1,3.8,0.81,1.8,3.3,5.1,5.0,0.9,0.3,2.3,2.0,17.9
2011,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",29.0,NBA,SG,12.0,12.0,41.4,7.3,16.5,0.44,1.5,3.5,0.43,5.8,13.0,0.44,0.48,2.8,3.5,0.81,1.5,3.1,4.6,3.3,1.1,0.1,2.6,1.6,18.8
2012,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",30.0,NBA,SG,6.0,6.0,40.5,6.3,17.0,0.37,1.5,6.0,0.25,4.8,11.0,0.44,0.42,3.0,4.0,0.75,1.0,2.5,3.5,3.5,1.3,0.2,2.7,1.8,17.2
2013,3,1494,BRK,Brooklyn Nets,Joe Johnson,"June 29, 1981",31.0,NBA,SG,7.0,7.0,38.7,6.1,14.7,0.42,1.4,5.6,0.26,4.7,9.1,0.52,0.47,1.1,1.3,0.89,0.6,2.6,3.1,2.7,1.1,0.0,1.7,1.9,14.9
2014,3,1494,BRK,Brooklyn Nets,Joe Johnson,"June 29, 1981",32.0,NBA,SG,12.0,12.0,39.1,8.2,15.3,0.53,1.8,4.4,0.42,6.3,10.9,0.58,0.59,3.0,3.6,0.84,0.8,3.1,3.8,2.9,0.5,0.3,1.6,1.7,21.2
2015,3,1494,BRK,Brooklyn Nets,Joe Johnson,"June 29, 1981",33.0,NBA,SG,6.0,6.0,41.5,5.7,15.7,0.36,2.0,6.8,0.29,3.7,8.8,0.42,0.43,3.2,4.0,0.79,0.8,6.8,7.7,4.8,1.2,0.0,0.8,2.7,16.5
2016,16,1494,MIA,Miami Heat,Joe Johnson,"June 29, 1981",34.0,NBA,SF,14.0,14.0,35.1,4.9,11.3,0.43,0.9,3.3,0.28,3.9,8.0,0.49,0.47,1.5,1.7,0.88,0.5,4.2,4.7,2.5,0.6,0.2,1.3,1.9,12.1
2017,29,1494,UTA,Utah Jazz,Joe Johnson,"June 29, 1981",35.0,NBA,SF,11.0,2.0,29.6,5.3,12.1,0.44,1.4,4.1,0.33,3.9,8.0,0.49,0.49,1.0,1.4,0.73,0.7,3.2,3.9,2.5,0.5,0.1,1.2,1.9,12.9
2018,11,1494,HOU,Houston Rockets,Joe Johnson,"June 29, 1981",36.0,NBA,SF,8.0,0.0,6.8,0.8,2.1,0.35,0.0,0.4,0.0,0.8,1.8,0.43,0.35,0.0,0.0,,0.0,1.3,1.3,0.4,0.0,0.1,0.4,0.5,1.5
